Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
copy and paste symbols tumblr,94,94,70,0,0.00,https://coolsymbol.com/,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
music note stationery,62,62,140,0,0.42,https://coolsymbol.com/musical-notes-symbols-music-symbols.html,0,0,0.00,0.24,31600000,"100, 64, 82, 82, 82, 64, 64, 64, 52, 82, 52, 82",2026-05-02,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
symbols copy and paste tumblr,73,73,70,0,0.00,https://coolsymbol.com/,0,0,0.00,0,123,"64, 35, 21, 35, 64, 64, 50, 35, 50, 50, 35, 50",2026-05-22,Related searches,"navigational, transactional",Organic
boarders copy and paste,39,39,210,0,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
cool r font,45,45,40,0,0.00,https://coolsymbol.com/,0,0,0.00,0.01,99,"18, 18, 18, 100, 100, 18, 18, 100, 18, 18, 18, 18",2026-05-17,"Image pack, Sitelinks, Video, Related searches",informational,Organic
cool r font,60,60,40,0,0.00,https://coolsymbol.com/cool-fancy-text-generator.html,0,0,0.00,0.01,99,"18, 18, 18, 100, 100, 18, 18, 100, 18, 18, 18, 18",2026-05-17,"Image pack, Sitelinks, Video, Related searches",informational,Organic
tumblr copy and paste symbols,70,70,70,0,0.00,https://coolsymbol.com/,0,0,0.00,0,120,"81, 63, 63, 36, 100, 45, 45, 63, 63, 81, 81, 100",2026-05-23,Related searches,"navigational, transactional",Organic
text borders copy and paste,50,50,140,0,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,124,"66, 66, 66, 80, 80, 52, 42, 52, 52, 80, 100, 66",2026-05-18,Related searches,informational,Organic
aesthetic borders copy and paste,65,65,320,0,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0,130,"13, 10, 10, 13, 20, 13, 16, 20, 16, 8, 5, 4",2026-05-26,Related searches,informational,Organic
شکلک های تایپی,63,63,50,0,0.00,https://coolsymbol.com/,0,0,0.00,0.33,96,"7, 7, 5, 7, 7, 5, 5, 4, 4, 2, 2, 2",2026-06-10,"Sitelinks, Video, Related searches",informational,Organic
aesthetic border copy and paste,43,43,70,0,0.00,https://coolsymbol.com/corner-symbols.html,0,0,0.00,0.33,131,"14, 0, 0, 22, 18, 14, 10, 4, 2, 29, 18, 35",2026-06-04,Related searches,informational,Organic
