slug,verdict
accent-marks-diacritics,N/A
achievement-symbols,N/A
aesthetic-borders-frames,KEEP
aesthetic-symbols,KEEP
algeria-emoji-combos,KEEP
alt-codes,N/A
angry-emoji,KEEP
animal-emojis,N/A
argentina-emoji-combos,KEEP
arrow-symbols,N/A
art-stationery-emojis,KEEP
ascii-table,N/A
australia-emoji-combos,KEEP
austria-emoji-combos,KEEP
awareness-ribbons,N/A
beauty-nails-emojis,KEEP
belgium-emoji-combos,KEEP
bellingham-emoji-combos,KEEP
benzema-emoji-combos,KEEP
body-language-emojis,N/A
bow-ribbon-symbols,KEEP
box-drawing-symbols,KEEP
bracket-symbols,N/A
braille-pattern-symbols,N/A
brainrot-slang-emojis,KEEP
brazil-emoji-combos,KEEP
bullet-point-symbols,N/A
cameroon-emoji-combos,KEEP
canada-emoji-combos,KEEP
card-emoji-soccer,N/A
card-suit-symbols,N/A
checkmark-symbols,N/A
chess-symbols,KEEP
chile-emoji-combos,KEEP
china-emoji-combos,KEEP
chinese-symbols,KEEP
christmas-symbols,N/A
clock-time-symbols,N/A
clothing-fashion-emojis,KEEP
colombia-emoji-combos,KEEP
color-emoji-combos,KEEP
copyright-trademark-symbols,N/A
coquette-symbols,KEEP
costa-rica-emoji-combos,KEEP
cottagecore-symbols,KEEP
croatia-emoji-combos,KEEP
cross-x-symbols,N/A
crown-royalty-symbols,N/A
crying-emoji,KEEP
currency-symbols,N/A
dash-hyphen-symbols,N/A
de-bruyne-emoji-combos,KEEP
degree-symbol,N/A
denmark-emoji-combos,KEEP
di-maria-emoji-combos,KEEP
dice-domino-symbols,N/A
discord-symbols,KEEP
diwali-symbols,N/A
dreamcore-weirdcore-symbols,KEEP
easter-symbols,N/A
ecuador-emoji-combos,KEEP
egypt-emoji-combos,KEEP
egyptian-hieroglyphs,N/A
electrical-circuit-symbols,N/A
email-symbols,N/A
emoji-combos,KEEP
emoji-flags,KEEP
emoji-meanings-guide,N/A
england-emoji-combos,KEEP
evil-eye-hamsa-symbols,N/A
face-emojis,N/A
fairycore-symbols,KEEP
fantasy-mythical-emojis,KEEP
flower-symbols,KEEP
foden-emoji-combos,KEEP
food-drink-emojis,N/A
football-ascii-art,N/A
football-emoji-copy-paste,N/A
football-kaomoji,N/A
football-reaction-emojis,N/A
football-symbols,N/A
football-trophy-emoji,N/A
football-username-ideas,N/A
fortnite-symbols,KEEP
fourth-of-july-symbols,N/A
fraction-symbols,N/A
france-emoji-combos,KEEP
free-fire-name-symbols,KEEP
friendship-emojis,KEEP
funny-emoji-combos,KEEP
gavi-emoji-combos,KEEP
gender-symbols,N/A
geometric-symbols,N/A
germany-emoji-combos,KEEP
ghana-emoji-combos,KEEP
goal-emoji-combos,KEEP
goat-emoji-combos,KEEP
goth-grunge-symbols,KEEP
greece-emoji-combos,KEEP
greek-letter-symbols,N/A
greeting-message-emojis,KEEP
griezmann-emoji-combos,KEEP
guess-soccer-player-by-emoji,N/A
guess-soccer-team-by-emoji,N/A
haaland-emoji-combos,KEEP
halloween-symbols,N/A
hand-symbols,N/A
happy-emoji,KEEP
hazard-warning-symbols,N/A
heart-symbols,KEEP
hindi-symbols,KEEP
honduras-emoji-combos,KEEP
html-entities,N/A
india-emoji-combos,KEEP
instagram-symbols,KEEP
invisible-character,N/A
ipa-phonetic-symbols,N/A
iran-emoji-combos,KEEP
ireland-emoji-combos,KEEP
islamic-symbols,N/A
italy-emoji-combos,KEEP
ivory-coast-emoji-combos,KEEP
jamaica-emoji-combos,KEEP
japan-emoji-combos,KEEP
japanese-symbols,KEEP
jewelry-gem-emojis,KEEP
kane-emoji-combos,KEEP
kawaii-cute-symbols,KEEP
keyboard-symbols,N/A
korean-symbols,KEEP
kvaratskhelia-emoji-combos,KEEP
latex-symbols,N/A
laughing-emoji,KEEP
laundry-care-symbols,N/A
lautaro-martinez-emoji-combos,KEEP
lewandowski-emoji-combos,KEEP
line-divider-symbols,KEEP
linkedin-comment-styling,N/A
linkedin-symbol-library,N/A
loading-text-symbols,KEEP
math-symbols,N/A
mbappe-emoji-combos,KEEP
media-control-symbols,N/A
medical-symbols,N/A
meme-text-art,KEEP
messi-emoji-combos,KEEP
mexico-emoji-combos,KEEP
minecraft-symbols,N/A
ml-name-symbols,KEEP
moai-emoji,KEEP
modric-emoji-combos,KEEP
money-emojis,KEEP
moon-celestial-symbols,KEEP
morocco-emoji-combos,KEEP
movie-night-emojis,KEEP
musiala-emoji-combos,KEEP
music-symbols,KEEP
nature-emojis,KEEP
nerd-emoji,KEEP
netherlands-emoji-combos,KEEP
new-zealand-emoji-combos,KEEP
neymar-emoji-combos,KEEP
nickname-symbols,KEEP
nigeria-emoji-combos,KEEP
nkunku-emoji-combos,KEEP
norse-viking-runes,KEEP
norway-emoji-combos,KEEP
number-symbols,N/A
object-emojis,KEEP
osimhen-emoji-combos,KEEP
panama-emoji-combos,KEEP
paraguay-emoji-combos,KEEP
party-celebration-emojis,KEEP
peace-symbol,N/A
pedri-emoji-combos,KEEP
people-profession-emojis,N/A
peru-emoji-combos,KEEP
poland-emoji-combos,KEEP
poop-emoji,KEEP
portugal-emoji-combos,KEEP
preppy-emoji-combos,KEEP
punctuation-symbols,N/A
qatar-emoji-combos,KEEP
rashford-emoji-combos,KEEP
recycle-environment-symbols,N/A
religious-symbols,N/A
roblox-symbols,KEEP
roblox-text-art,KEEP
rodri-emoji-combos,KEEP
rodrygo-emoji-combos,KEEP
ronaldo-emoji-combos,KEEP
sad-emoji,KEEP
saka-emoji-combos,KEEP
salah-emoji-combos,KEEP
saudi-arabia-emoji-combos,KEEP
school-education-emojis,KEEP
scotland-emoji-combos,KEEP
seasonal-emoji-combos,KEEP
senegal-emoji-combos,KEEP
serbia-emoji-combos,KEEP
shocked-emoji,KEEP
side-eye-emoji,KEEP
slash-backslash-symbols,N/A
smiley-face-guide,N/A
soccer-emoji-copy-paste,N/A
son-emoji-combos,KEEP
south-africa-emoji-combos,KEEP
south-korea-emoji-combos,KEEP
spain-emoji-combos,KEEP
sparkle-symbols,KEEP
special-characters,N/A
sports-emojis,N/A
star-symbols,KEEP
suarez-emoji-combos,KEEP
sweden-emoji-combos,KEEP
switzerland-emoji-combos,KEEP
tech-status-symbols,N/A
text-art,KEEP
text-faces-kaomoji,KEEP
thanksgiving-symbols,N/A
therian-symbols,N/A
thumbs-up-emoji,KEEP
tiktok-symbols,KEEP
traffic-road-sign-symbols,N/A
transport-symbols,N/A
travel-vacation-emojis,KEEP
tunisia-emoji-combos,KEEP
turkey-emoji-combos,KEEP
ukraine-emoji-combos,KEEP
unit-measurement-symbols,N/A
uruguay-emoji-combos,KEEP
usa-emoji-combos,KEEP
venezuela-emoji-combos,KEEP
vertical-line-symbols,N/A
vinicius-emoji-combos,KEEP
wales-emoji-combos,KEEP
weapon-tool-emojis,KEEP
weather-symbols,N/A
wedding-anniversary-emojis,KEEP
whatsapp-symbols,N/A
wirtz-emoji-combos,KEEP
witchy-occult-symbols,KEEP
world-cup-emoji-combos,KEEP
x-twitter-symbols,N/A
y2k-symbols,KEEP
yamal-emoji-combos,KEEP
yin-yang-symbol,N/A
zodiac-symbols,KEEP
