slug,page_url,is_emoji_pin,category,board_primary,board_secondary,pin_title,pin_description,pin_keywords,pin_alt_text,pin_image_path,image_width,image_height,destination_url,utm_destination_url,rows_shown,pin_status
aesthetic-borders-frames,https://ultratextgen.com/library/aesthetic-borders-frames/,no,Decorative borders/frames,Copy and Paste Symbols,Instagram Bio Symbols & Aesthetic Text,Borders Frames to Copy and Paste | UltraTextGen,"Copy and paste borders frames for your bio, captions, username and posts. This pack includes Floral Dash Frame, Petal Bio Border, Star Corner Frame and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","borders frames, borders frames copy and paste, copy and paste symbols, aesthetic symbols, bio symbols, copy and paste, ultratextgen",Vertical Pinterest pin showing borders frames to copy and paste from UltraTextGen.,assets/collection-pins/aesthetic-borders-frames.png,1000,1500,https://ultratextgen.com/library/aesthetic-borders-frames/,https://ultratextgen.com/library/aesthetic-borders-frames/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=aesthetic-borders-frames,Floral Dash Frame | Petal Bio Border | Star Corner Frame | Soft Rounded Frame | Heart Wrap Border,pending
aesthetic-symbols,https://ultratextgen.com/library/aesthetic-symbols/,no,Aesthetic decoration,Copy and Paste Symbols,Instagram Bio Symbols & Aesthetic Text,Aesthetic Decoration Symbols to Copy and Paste,"Copy and paste aesthetic decoration symbols for your bio, captions, username and posts. This pack includes Soft Sparkle Bio, Coquette Heart Combo, Nature Florette Set and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","aesthetic decoration, aesthetic decoration copy and paste, copy and paste symbols, aesthetic symbols, bio symbols, copy and paste, ultratextgen",Vertical Pinterest pin showing aesthetic decoration symbols to copy and paste from UltraTextGen.,assets/collection-pins/aesthetic-symbols.png,1000,1500,https://ultratextgen.com/library/aesthetic-symbols/,https://ultratextgen.com/library/aesthetic-symbols/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=aesthetic-symbols,Soft Sparkle Bio | Coquette Heart Combo | Nature Florette Set | Star Line Divider | Minimal Dot Accent,pending
algeria-emoji-combos,https://ultratextgen.com/library/algeria-emoji-combos/,yes,Algeria Emoji Combos,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Algeria Emoji Combos to Copy and Paste | UltraTextGen,"Copy and paste algeria emoji combos for your bio, captions, username and posts. This pack includes Les Fennecs, Viva l'Algérie, Green and White and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","algeria, algeria copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing algeria emoji combos to copy and paste from UltraTextGen.,assets/collection-pins/algeria-emoji-combos.png,1000,1500,https://ultratextgen.com/library/algeria-emoji-combos/,https://ultratextgen.com/library/algeria-emoji-combos/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=algeria-emoji-combos,Les Fennecs | Viva l'Algérie | Green and White | Algeria Pride,pending
angry-emoji,https://ultratextgen.com/library/angry-emoji/,yes,Angry Emoji & Kaomoji,Emojis & Combos to Copy and Paste,"Text Art, Kaomoji & ASCII Faces",Angry Emojis to Copy and Paste | UltraTextGen,"Copy and paste angry emojis for your bio, captions, username and posts. This pack includes Rage Mode, Steam Off, Last Nerve and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","angry, angry copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing angry emojis to copy and paste from UltraTextGen.,assets/collection-pins/angry-emoji.png,1000,1500,https://ultratextgen.com/library/angry-emoji/,https://ultratextgen.com/library/angry-emoji/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=angry-emoji,Rage Mode | Steam Off | Last Nerve | Total Meltdown | Villain Arc,pending
argentina-emoji-combos,https://ultratextgen.com/library/argentina-emoji-combos/,yes,Argentina Emoji Combos,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Argentina Emoji Combos to Copy and Paste,"Copy and paste argentina emoji combos for your bio, captions, username and posts. This pack includes Argentina Champions, Vamos Argentina, Three Stars and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","argentina, argentina copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing argentina emoji combos to copy and paste from UltraTextGen.,assets/collection-pins/argentina-emoji-combos.png,1000,1500,https://ultratextgen.com/library/argentina-emoji-combos/,https://ultratextgen.com/library/argentina-emoji-combos/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=argentina-emoji-combos,Argentina Champions | Vamos Argentina | Three Stars | Albiceleste,pending
art-stationery-emojis,https://ultratextgen.com/library/art-stationery-emojis/,yes,Art & Stationery Emojis,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Art & Stationery Emojis to Copy and Paste,"Copy and paste art & stationery emojis for your bio, captions, username and posts. This pack includes Artist Bio, Study Notes, Bullet Journal and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","art & stationery, art & stationery copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing art & stationery emojis to copy and paste from UltraTextGen.,assets/collection-pins/art-stationery-emojis.png,1000,1500,https://ultratextgen.com/library/art-stationery-emojis/,https://ultratextgen.com/library/art-stationery-emojis/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=art-stationery-emojis,Artist Bio | Study Notes | Bullet Journal | Writer's Desk | Back to School,pending
australia-emoji-combos,https://ultratextgen.com/library/australia-emoji-combos/,yes,Australia Emoji Combos,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Australia Emoji Combos to Copy and Paste,"Copy and paste australia emoji combos for your bio, captions, username and posts. This pack includes Socceroos, Go Aussies, Green and Gold and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","australia, australia copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing australia emoji combos to copy and paste from UltraTextGen.,assets/collection-pins/australia-emoji-combos.png,1000,1500,https://ultratextgen.com/library/australia-emoji-combos/,https://ultratextgen.com/library/australia-emoji-combos/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=australia-emoji-combos,Socceroos | Go Aussies | Green and Gold | Australia Pride,pending
austria-emoji-combos,https://ultratextgen.com/library/austria-emoji-combos/,yes,Austria Emoji Combos,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Austria Emoji Combos to Copy and Paste | UltraTextGen,"Copy and paste austria emoji combos for your bio, captions, username and posts. This pack includes Das Team, Hopp Österreich, Red and White and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","austria, austria copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing austria emoji combos to copy and paste from UltraTextGen.,assets/collection-pins/austria-emoji-combos.png,1000,1500,https://ultratextgen.com/library/austria-emoji-combos/,https://ultratextgen.com/library/austria-emoji-combos/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=austria-emoji-combos,Das Team | Hopp Österreich | Red and White | Austria Pride,pending
beauty-nails-emojis,https://ultratextgen.com/library/beauty-nails-emojis/,yes,Beauty & Nails Emojis,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Beauty & Nails Emojis to Copy and Paste | UltraTextGen,"Copy and paste beauty & nails emojis for your bio, captions, username and posts. This pack includes Fresh Set, Glam Night Out, Self-Care Sunday and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","beauty & nails, beauty & nails copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing beauty & nails emojis to copy and paste from UltraTextGen.,assets/collection-pins/beauty-nails-emojis.png,1000,1500,https://ultratextgen.com/library/beauty-nails-emojis/,https://ultratextgen.com/library/beauty-nails-emojis/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=beauty-nails-emojis,Fresh Set | Glam Night Out | Self-Care Sunday | Pink Coquette | Nail Salon Bio,pending
belgium-emoji-combos,https://ultratextgen.com/library/belgium-emoji-combos/,yes,Belgium Emoji Combos,Emojis & Combos to Copy and Paste,Emoji Copy Paste & Emoji Combos,Belgium Emoji Combos to Copy and Paste | UltraTextGen,"Copy and paste belgium emoji combos for your bio, captions, username and posts. This pack includes Red Devils, Allez Belgique, Black Yellow Red and more — tap any set on UltraTextGen to copy it instantly. Free, no app, works on mobile and desktop.","belgium, belgium copy and paste, copy and paste emojis, emoji combos, aesthetic emojis, copy and paste, ultratextgen",Vertical Pinterest pin showing belgium emoji combos to copy and paste from UltraTextGen.,assets/collection-pins/belgium-emoji-combos.png,1000,1500,https://ultratextgen.com/library/belgium-emoji-combos/,https://ultratextgen.com/library/belgium-emoji-combos/?utm_source=pinterest&utm_medium=social&utm_campaign=collections&utm_content=belgium-emoji-combos,Red Devils | Allez Belgique | Black Yellow Red | Belgium Pride,pending
