slug,image_path,width,height,board,pin_title,pin_description,pin_keywords,pin_alt_text,destination_url,utm_destination_url
fonts-copy-paste,assets/pinterest/discord/fonts-copy-paste.png,1000,1500,"Discord Fonts, Symbols & Names",Discord Fonts Copy & Paste (No Nitro Needed) — Free Generator,"Discord Fonts Copy & Paste — Type once, copy any style, paste into Discord — no Nitro needed. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord fonts, discord fonts copy and paste, fonts for discord, discord font copy and paste, discord font",Vertical Pinterest pin: Discord Fonts Copy & Paste — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=fonts-copy-paste
name-as-a-font,assets/pinterest/discord/name-as-a-font.png,1000,1500,"Discord Fonts, Symbols & Names",Turn Your Discord Name Into a Font — Copy & Paste Username Styles,"Turn Your Discord Name Into a Font — Style your username in seconds — works in your display name & profile. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord name as a font, discord name font, discord name fonts, different discord fonts for name, discord username fonts",Vertical Pinterest pin: Turn Your Discord Name Into a Font — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=name-as-a-font
change-name-font,assets/pinterest/discord/change-name-font.png,1000,1500,"Discord Fonts, Symbols & Names",How to Change Your Discord Name Font — 3 Easy Steps (Free),"How to Change Your Discord Name Font — Three steps: type your name, pick a font, paste it into Discord. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","how to change discord name font, how to change font on discord, how to change font in discord, discord font change, discord font changer",Vertical Pinterest pin: How to Change Your Discord Name Font — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=change-name-font
font-generator,assets/pinterest/discord/font-generator.png,1000,1500,"Discord Fonts, Symbols & Names",Free Discord Font Generator — Copy & Paste Fonts for Discord,"Free Discord Font Generator — Dozens of copy-paste fonts for names, messages and bios. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord font generator, font generator discord, discord fonts generator, font generator for discord, font for discord",Vertical Pinterest pin: Free Discord Font Generator — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=font-generator
bold-small-text,assets/pinterest/discord/bold-small-text.png,1000,1500,"Discord Fonts, Symbols & Names","Bold, Italic & Small Text for Discord — Copy & Paste","Bold, Italic & Small Text for Discord — Real Unicode bold, italics and tiny small-caps that paste anywhere. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord bold font, small font discord, discord bold text, discord italic, discord text font","Vertical Pinterest pin: Bold, Italic & Small Text for Discord — copy-paste Discord font examples from UltraTextGen.",https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=bold-small-text
text-formatting,assets/pinterest/discord/text-formatting.png,1000,1500,"Discord Fonts, Symbols & Names","Discord Text Formatting & Font Commands — Bold, Italic & Beyond","Discord Text Formatting & Font Commands — Markdown does bold & italics; Unicode fonts do everything else. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord font commands, discord text formatting, discord fonts commands, discord font size command, how do discord font",Vertical Pinterest pin: Discord Text Formatting & Font Commands — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=text-formatting
what-font-discord,assets/pinterest/discord/what-font-discord.png,1000,1500,"Discord Fonts, Symbols & Names",What Font Does Discord Use? (And How to Add Your Own),"What Font Does Discord Use? — Discord's default is gg sans — here's how to add fancy fonts yourself. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","what font does discord use, what font does discord use for text, discord font name, discord text fonts, font discord",Vertical Pinterest pin: What Font Does Discord Use? — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/answers/what-font-does-discord-use/,https://ultratextgen.com/answers/what-font-does-discord-use/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=what-font-discord
display-name-styles,assets/pinterest/discord/display-name-styles.png,1000,1500,"Discord Fonts, Symbols & Names",Discord Display Name Styles — Aesthetic Fonts to Copy & Paste,"Discord Display Name Styles — Style your display name without touching your real username. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord display name font, discord display name, display name discord, discord name style, discord display name styles",Vertical Pinterest pin: Discord Display Name Styles — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=display-name-styles
names-copy-paste,assets/pinterest/discord/names-copy-paste.png,1000,1500,"Discord Fonts, Symbols & Names",Aesthetic Discord Names to Copy & Paste — Username Ideas,"Aesthetic Discord Names to Copy & Paste — Ready-made styled names — just copy your favourite and paste. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord names copy and paste, aesthetic discord names, cool discord fonts, discord username ideas, discord fonts copy and paste",Vertical Pinterest pin: Aesthetic Discord Names to Copy & Paste — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=names-copy-paste
symbols-for-names,assets/pinterest/discord/symbols-for-names.png,1000,1500,"Discord Fonts, Symbols & Names",Discord Symbols for Usernames — Copy & Paste Name Decorations,"Discord Symbols for Usernames — Decorate your name with brackets, stars and dividers that paste cleanly. Type once and copy every Unicode style at UltraTextGen: free, in your browser, no app and no Nitro. Great for usernames, display names, bios, messages and server text.","discord symbols, discord font symbols, symbols for discord name, discord symbols copy and paste, discord fonts symbols",Vertical Pinterest pin: Discord Symbols for Usernames — copy-paste Discord font examples from UltraTextGen.,https://ultratextgen.com/library/discord-symbols/,https://ultratextgen.com/library/discord-symbols/?utm_source=pinterest&utm_medium=social&utm_campaign=discord_pins&utm_content=symbols-for-names
