slug,image_path,width,height,board,pin_title,pin_description,pin_keywords,pin_alt_text,destination_url,utm_destination_url
symbole-esperluette,assets/pinterest/fr_clavier/symbole-esperluette.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Comment Faire le Symbole Esperluette (&) au Clavier,"Comment taper le symbole esperluette (&) au clavier — Alt+38 ou Maj+7 (AZERTY). Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","esperluette clavier, esperluette clavier azerty, symbole et, et symbole",Pin vertical en français : symbole Esperluette (&) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-esperluette/,https://ultratextgen.com/fr/symbol/symbole-esperluette/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-esperluette
symbole-coche,assets/pinterest/fr_clavier/symbole-coche.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Coche (✓) — Copier-Coller & Raccourci Clavier,"Comment taper le symbole coche (✓) au clavier — Alt+0252 (Wingdings) ou copier-coller. Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole coche, coche clavier, symbole copier coller",Pin vertical en français : symbole Coche (✓) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-coche/,https://ultratextgen.com/fr/symbol/symbole-coche/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-coche
barre-verticale,assets/pinterest/fr_clavier/barre-verticale.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Barre Verticale ( | ) — Comment la Taper au Clavier,"Comment taper le symbole barre verticale (|) au clavier — AltGr+6 (AZERTY). Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","barre verticale clavier, symbole pipe clavier",Pin vertical en français : symbole Barre Verticale (|) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/barre-verticale/,https://ultratextgen.com/fr/symbol/barre-verticale/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=barre-verticale
symbole-plus-ou-moins,assets/pinterest/fr_clavier/symbole-plus-ou-moins.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Plus ou Moins (±) — Copier-Coller,"Comment taper le symbole plus ou moins (±) au clavier — Alt+0177. Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole plus ou moins, plus ou moins clavier",Pin vertical en français : symbole Plus ou Moins (±) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-plus-ou-moins/,https://ultratextgen.com/fr/symbol/symbole-plus-ou-moins/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-plus-ou-moins
symbole-infini,assets/pinterest/fr_clavier/symbole-infini.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Infini (∞) — Copier-Coller & Signification,"Comment taper le symbole infini (∞) au clavier — Alt+236 — copier-coller. Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole infini, symbole infini clavier, signe infini",Pin vertical en français : symbole Infini (∞) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-infini/,https://ultratextgen.com/fr/symbol/symbole-infini/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-infini
symbole-micro,assets/pinterest/fr_clavier/symbole-micro.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Micro (µ) — Comment le Taper au Clavier,"Comment taper le symbole micro (mu) (µ) au clavier — Alt+0181 (AZERTY : touche μ). Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole micro clavier, symbole mu clavier",Pin vertical en français : symbole Micro (Mu) (µ) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-micro/,https://ultratextgen.com/fr/symbol/symbole-micro/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-micro
symbole-cancer,assets/pinterest/fr_clavier/symbole-cancer.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Cancer (♋) — Copier-Coller (Astrologie),"Comment taper le symbole cancer (zodiaque) (♋) au clavier — Alt+9803 — copier-coller. Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole cancer astrologie, signe cancer symbole, cœur symbole clavier",Pin vertical en français : symbole Cancer (Zodiaque) (♋) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-cancer/,https://ultratextgen.com/fr/symbol/symbole-cancer/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-cancer
symbole-guillemet,assets/pinterest/fr_clavier/symbole-guillemet.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Guillemet (« ») — Copier-Coller à la Française,"Comment taper le symbole guillemets français (« ») au clavier — Alt+174 / Alt+175 (AZERTY). Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","guillemet clavier, guillemets français clavier",Pin vertical en français : symbole Guillemets Français (« ») — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-guillemet/,https://ultratextgen.com/fr/symbol/symbole-guillemet/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-guillemet
symbole-etoile,assets/pinterest/fr_clavier/symbole-etoile.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,Symbole Étoile (★☆) — Tous les Styles à Copier,"Comment taper le symbole étoile (★ ☆) au clavier — Alt+9733 / Alt+9734. Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole étoile clavier, étoile copier coller",Pin vertical en français : symbole Étoile (★ ☆) — raccourci clavier et copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/symbol/symbole-etoile/,https://ultratextgen.com/fr/symbol/symbole-etoile/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-etoile
symbole-different,assets/pinterest/fr_clavier/symbole-different.png,1000,1500,Symboles Clavier — Comment Faire Chaque Symbole ✨,"Symbole ""Différent de"" (≠) — Copier-Coller","Comment taper le symbole ""différent de"" (≠) au clavier — Alt+8800 — copier-coller. Ou copie-le directement sur UltraTextGen, gratuit et sans appli.","symbole différent clavier, signe différent de","Pin vertical en français : symbole ""Différent de"" (≠) — raccourci clavier et copier-coller depuis UltraTextGen.",https://ultratextgen.com/fr/symbol/symbole-different/,https://ultratextgen.com/fr/symbol/symbole-different/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_clavier_pins&utm_content=symbole-different
