page_url,page_path,page_type,primary_intent,priority,search_volume,include_in_pinterest,exclusion_reason,og_image_path,pinterest_image_path,pinterest_image_width,pinterest_image_height,pinterest_board_primary,pinterest_board_secondary,pin_title,pin_description,pin_keywords,pin_alt_text,pin_destination_url,utm_destination_url,pin_status,published_pin_url,design_template,visual_glyphs,notes
https://ultratextgen.com/ascii-art-generator/,/ascii-art-generator/,platform,platform,Highest,,yes,,/assets/og/ascii-art-generator.png,assets/pinterest/ascii-art-generator.png,1000,1500,"Special Characters, Unicode & Keyboard Symbols",,ASCII Art Fonts and Symbols to Copy and Paste,"Copy and paste ASCII Art fonts, symbols and styled text for display names, usernames, bios, posts and chats. Turn any word into big block-letter ASCII art. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, ascii art, ascii art fonts, ascii art symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing ASCII Art fonts and symbols for copy and paste.,https://ultratextgen.com/ascii-art-generator/,https://ultratextgen.com/ascii-art-generator/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=ascii-art-generator,pending,,platform_vertical,A → ★ transform,
https://ultratextgen.com/ascii-converter/,/ascii-converter/,platform,platform,Highest,,yes,,/assets/og/ascii-converter.png,assets/pinterest/ascii-converter.png,1000,1500,"Special Characters, Unicode & Keyboard Symbols",,ASCII Converter Fonts and Symbols to Copy and Paste,"Copy and paste ASCII Converter fonts, symbols and styled text for display names, usernames, bios, posts and chats. Text to hex, binary, decimal & octal, and back. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, ascii converter, ascii converter fonts, ascii converter symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing ASCII Converter fonts and symbols for copy and paste.,https://ultratextgen.com/ascii-converter/,https://ultratextgen.com/ascii-converter/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=ascii-converter,pending,,platform_vertical,A → ★ transform,
https://ultratextgen.com/character-counter/,/character-counter/,platform,platform,Highest,,yes,,/assets/og/character-counter.png,assets/pinterest/character-counter.png,1000,1500,Fancy Text Generator & Copy Paste Fonts,,Character Counter Fonts and Symbols to Copy and Paste,"Copy and paste Character Counter fonts, symbols and styled text for display names, usernames, bios, posts and chats. Live word & character stats as you type. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, character counter, character counter fonts, character counter symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing Character Counter fonts and symbols for copy and paste.,https://ultratextgen.com/character-counter/,https://ultratextgen.com/character-counter/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=character-counter,pending,,platform_vertical,123,
https://ultratextgen.com/curved-text/,/curved-text/,platform,platform,Highest,,yes,,/assets/og/curved-text.png,assets/pinterest/curved-text.png,1000,1500,Fancy Text Generator & Copy Paste Fonts,,Curved & Arc Text Fonts and Symbols to Copy and Paste,"Copy and paste Curved & Arc Text fonts, symbols and styled text for display names, usernames, bios, posts and chats. Bend text into arcs, waves, spirals & shapes. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, curved & arc text, curved & arc text fonts, curved & arc text symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing Curved & Arc Text fonts and symbols for copy and paste.,https://ultratextgen.com/curved-text/,https://ultratextgen.com/curved-text/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=curved-text,pending,,platform_vertical,Unicode font and symbol samples,
https://ultratextgen.com/discord/,/discord/,platform,platform,Highest,,yes,,/assets/og/discord.png,assets/pinterest/discord.png,1000,1500,"Discord Fonts, Symbols & Names",,Discord Fonts and Symbols to Copy and Paste,"Copy and paste Discord fonts, symbols and styled text for display names, usernames, bios, posts and chats. Copy-and-paste fonts — no Nitro needed. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, discord, discord fonts, discord symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing Discord fonts and symbols for copy and paste.,https://ultratextgen.com/discord/,https://ultratextgen.com/discord/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=discord,pending,,platform_vertical,styled chat bubbles,
https://ultratextgen.com/embed/,/embed/,platform,platform,Highest,,no,embed page,/assets/og/embed.png,,,,,,,,,,,,pending,,,,
https://ultratextgen.com/events/,/events/,platform,platform,Highest,,yes,,/assets/og/events.png,assets/pinterest/events.png,1000,1500,Emoji Copy Paste & Emoji Combos,,Holiday & Event Texts Fonts and Symbols to Copy and Paste,"Copy and paste Holiday & Event Texts fonts, symbols and styled text for display names, usernames, bios, posts and chats. Fonts, emoji, and phrases for every calendar holiday. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, holiday & event texts, holiday & event texts fonts, holiday & event texts symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing Holiday & Event Texts fonts and symbols for copy and paste.,https://ultratextgen.com/events/,https://ultratextgen.com/events/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=events,pending,,platform_vertical,grid of style tiles,
https://ultratextgen.com/facebook/,/facebook/,platform,platform,Highest,,yes,,/assets/og/facebook.png,assets/pinterest/facebook.png,1000,1500,"TikTok, Snapchat & WhatsApp Fonts",,Facebook Fonts and Symbols to Copy and Paste,"Copy and paste Facebook fonts, symbols and styled text for display names, usernames, bios, posts and chats. Stylish text for posts and profiles. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, facebook, facebook fonts, facebook symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing Facebook fonts and symbols for copy and paste.,https://ultratextgen.com/facebook/,https://ultratextgen.com/facebook/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=facebook,pending,,platform_vertical,styled profile card,
https://ultratextgen.com/hiragana-chart/,/hiragana-chart/,platform,platform,Highest,,yes,,/assets/og/hiragana-chart.png,assets/pinterest/hiragana-chart.png,1000,1500,Fancy Text Generator & Copy Paste Fonts,,Hiragana Chart Fonts and Symbols to Copy and Paste,"Copy and paste Hiragana Chart fonts, symbols and styled text for display names, usernames, bios, posts and chats. All 46 kana with romaji, printable & tap-to-copy. Create clean Unicode styles in seconds with UltraTextGen — free and no app needed.","platform, hiragana chart, hiragana chart fonts, hiragana chart symbols, copy and paste fonts, fancy text, copy and paste, ultratextgen",Vertical Pinterest graphic showing Hiragana Chart fonts and symbols for copy and paste.,https://ultratextgen.com/hiragana-chart/,https://ultratextgen.com/hiragana-chart/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=hiragana-chart,pending,,platform_vertical,Unicode font and symbol samples,
https://ultratextgen.com/,/,homepage,homepage,Highest,,yes,,/assets/og/fancy-text-generator-preview.png,assets/pinterest/homepage.png,1000,1500,Fancy Text Generator & Copy Paste Fonts,,Fancy Text Generator — Copy and Paste Fonts and Symbols,"Turn plain text into 60+ stylish Unicode fonts and symbols you can copy and paste anywhere. Perfect for bios, captions, usernames, posts and chats. UltraTextGen is free, works in your browser and needs no app or sign-up.","homepage, fancy text, fancy text generator, copy and paste, ultratextgen",Vertical Pinterest graphic for the UltraTextGen fancy text generator.,https://ultratextgen.com/,https://ultratextgen.com/?utm_source=pinterest&utm_medium=social&utm_campaign=organic_pins&utm_content=homepage,pending,,homepage_vertical,A g x ★ U brand glyph cluster,
