Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
group emoji,Informational,590,"1.00,1.00,0.81,0.67,1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.67",25,0.00,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches",194000000
emoji group,Informational,390,"0.81,0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81",17,0.00,0.00,"Image, Image pack, Video, Related searches",294000000
group of people emoji,Informational,210,"0.81,0.65,0.65,0.65,0.81,1.00,0.65,0.53,0.43,0.53,0.53,0.53",23,0.00,0.00,"AI Overview, Image, Video, People also ask, Related searches",175000000
group of emojis,Informational,170,"0.27,0.53,1.00,0.53,0.36,0.36,0.43,0.43,0.53,0.53,0.36,0.43",12,0.00,0.00,"Image, Image pack, Video, Related searches",103000000
signal group chat emojis,Informational,170,"1.00,0.29,0.19,0.15,0.05,0.04,0.05,0.04,0.03,0.04,0.02,0.02",31,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches",2540000
group chat emojis,Informational,110,"1.00,0.65,0.65,0.53,0.53,0.00,0.40,0.28,0.40,0.81,0.65,0.81",14,0.00,0.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches",38300000
emoji group chat challenge,Informational,70,"0.14,0.66,0.04,0.04,1.00,0.42,0.42,0.80,0.66,0.09,0.00,0.04",25,0.00,0.00,"AI Overview, Image, Video, Short videos, People also ask",107
group me emojis,,50,"0.23,0.12,0.05,0.12,0.81,0.16,0.16,0.05,0.12,0.16,1.00,0.81",,0.00,0.33,,
emoji costume group,"Informational, Commercial",40,"0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18",20,0.00,0.33,"Sitelinks, Image pack, Video, Related searches, Popular products",227
emoji group costumes,"Informational, Commercial",40,"0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18",20,0.00,0.33,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",226
group discussion emoji,Informational,40,"1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17",15,0.00,0.33,"Image, Image pack, Video, Related searches",10400000
group emoji costume,Informational,40,"0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18",20,0.00,0.33,"Image, Image pack, Video, Related searches, Popular products",22200000
emoji group chat,,30,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00",,0.00,0.33,,
groups emoji,,30,"0.28,0.14,0.28,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,0.33,,
houthi pc small group emojis,,30,"0.36,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
houthi small group emoji,,30,"1.00,0.09,0.09,0.09,0.09,0.09,0.00,0.00,0.09,0.09,0.09,0.09",,0.00,0.33,,
a group of emojis,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
aesthetic emoji groups,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
best emoji for group chat,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
blue man group emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
church youth group emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
