Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
medical emoji,Informational,1000,"0.55,1.00,0.55,0.62,0.62,0.81,0.62,0.44,0.55,0.55,0.62,0.81",38,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches",37400000
medic emoji,Informational,590,"0.82,1.00,0.36,0.55,0.55,0.55,0.67,0.67,0.67,0.55,0.30,0.67",26,0.00,0.00,"Image, Image pack, Video, Related searches",52500000
medical emojis,Informational,480,"0.54,1.00,0.44,0.29,1.00,0.54,0.81,0.54,0.66,0.66,0.54,0.81",19,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches",12400000
medical emoji game with answers,Informational,210,"0.08,1.00,0.06,0.05,0.03,0.03,0.20,0.06,0.02,0.01,0.02,0.03",21,0.00,0.98,"Sitelinks, Image, Image pack, Video, Video carousel",124
medical symbol emoji,Informational,140,"0.66,0.66,0.66,0.81,1.00,0.66,0.66,0.66,0.66,0.53,0.33,0.53",15,0.00,0.00,"Image, Image pack, Video, Related searches",10700000
medical emoji game,Informational,110,"0.11,1.00,0.09,0.05,0.05,0.05,0.15,0.09,0.04,0.04,0.09,0.09",24,0.00,0.94,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",145
medical emoji symbol,Informational,110,"1.00,0.64,1.00,0.79,0.79,0.79,1.00,0.79,1.00,0.79,0.49,0.64",17,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches",117
medical sign emoji,Informational,110,"0.79,1.00,1.00,1.00,1.00,0.79,1.00,0.79,0.79,0.64,0.50,0.50",19,0.00,0.00,"Image, Image pack, Video, Related searches",97
medical emoji game answers,Informational,70,"0.06,1.00,0.04,0.04,0.04,0.04,0.22,0.04,0.04,0.04,0.04,0.04",20,0.00,0.33,"Image pack, Video, Related searches",102
medical emoji quiz with answers,Informational,70,"0.13,1.00,0.06,0.07,0.06,0.06,0.22,0.13,0.04,0.04,0.04,0.04",17,0.00,0.00,"Image, Image pack, Video, Video carousel, Related searches",424000
medication emoji,Informational,50,"0.09,0.52,0.09,0.09,0.09,0.09,0.52,0.09,0.09,0.52,1.00,0.80",21,0.00,0.33,"Image, Image pack, Video, People also ask, Related searches",119
medical emoji game with answers quizlet,,40,"0.00,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",,0.00,0.33,,
medical emoji quiz with answers pdf,Informational,40,"0.11,1.00,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11",8,0.00,0.57,"Image pack, Video, Related searches",59300
emoji medical game,,30,"0.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
medical disease emoji quiz answers,,30,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
medical emoji copy and paste,,30,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00",,0.00,0.33,,
medical emoji game with answers pdf,,30,"0.00,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.42,,
medical emoji game with answers printable,,30,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,1.00,,
medical emoji pictionary answers,,30,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.33,,
medical emoji quiz with answers for adults,,30,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
medication emoji game,,30,"0.17,0.17,0.17,0.17,0.17,0.17,1.00,0.17,0.17,0.17,0.17,0.17",,0.00,0.33,,
emoji face with medical mask meaning,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
emoji medical,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
emoji medical symbol,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
emoji medication,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
emoji medication game,,20,"0.67,0.67,0.67,0.67,0.00,0.67,1.00,0.67,0.67,0.67,0.67,0.67",,0.00,0.33,,
emoji medico,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
face with medical mask emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
face with medical mask emoji meaning,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
heart emoji medical,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
iphone medical emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
is there a medical emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical assistant emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical cross emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical doctor emoji,,20,"1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0.00,0.33,,
medical emoji apple,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical emoji for instagram,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical emoji game answers quizlet,,20,"0.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18",,0.00,0.33,,
medical emoji iphone,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical emoji quiz,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical emoji quiz with answers quizlet,,20,"0.00,1.00,0.40,0.40,0.40,0.40,0.40,0.40,0.00,0.40,0.00,0.00",,0.00,0.00,,
medical emoji text,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical field emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical heart emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical kit emoji,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
medical mask emoji,,20,"0.66,0.66,0.66,1.00,1.00,0.66,0.66,0.66,0.66,0.66,0.00,0.66",,0.00,0.33,,
