Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
gay xbox gamertags,17,17,70,0,0.00,https://emojidb.org/xbox-gamertag-symbols-emojis,0,0,0.00,0.33,3100000,"14, 14, 14, 78, 14, 14, 78, 78, 14, 14, 78, 100",2026-04-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
god is greater than highs and lows meaning,38,38,50,0,0.00,https://emojidb.org/god-is-greater-than-the-highs-and-lows-emojis,0,0,0.00,0.03,154,"19, 26, 19, 19, 34, 26, 19, 34, 15, 19, 19, 7",2026-06-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
لوگو اینستاگرام در کیبورد,7,7,40,0,0.00,https://emojidb.org/instagram-logo-emojis,0,0,0.00,0.33,61,"18, 18, 18, 63, 18, 81, 100, 36, 18, 18, 18, 18",2026-05-16,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
tumblr goth,37,37,50,0,0.00,https://emojidb.org/goth-emojis,0,0,0.00,0.32,13200000,"6, 3, 6, 15, 53, 28, 6, 12, 43, 12, 15, 15",2026-04-20,"Image pack, Sitelinks, Video, Image, Related searches",navigational,Organic
the letter l in different fonts,89,89,90,0,0.00,https://emojidb.org/l-emojis,0,0,0.00,0.01,104,"15, 21, 21, 21, 28, 21, 21, 34, 34, 34, 28, 28",2026-05-13,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
the letter l in different fonts,94,94,90,0,0.00,https://emojidb.org/l-emojis,0,0,0.00,0.01,104,"15, 21, 21, 21, 28, 21, 21, 34, 34, 34, 28, 28",2026-05-13,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
atheist tumblr,45,45,210,0,0.00,https://emojidb.org/atheist-emojis,0,0,0.00,0.33,104,"43, 53, 35, 23, 23, 35, 43, 66, 100, 82, 82, 100",2026-06-06,Sitelinks,navigational,Organic
cross emo,15,15,70,0,0.00,https://emojidb.org/cross-emojis,0,0,0.00,0.03,175,"11, 11, 11, 11, 64, 64, 11, 64, 64, 100, 11, 11",2026-04-18,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
bmw android e60,65,65,50,0,0.00,https://emojidb.org/bmw-emojis,0,0,0.00,0.36,6110000,"11, 11, 11, 11, 11, 64, 64, 64, 64, 11, 11, 11",2026-04-26,"Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
animal jam emoji transparent,57,57,50,0,0.00,https://emojidb.org/animal-jam-emojis,0,0,0.00,0.33,929000,"100, 78, 78, 14, 14, 14, 14, 14, 14, 14, 14, 14",2026-04-23,"Image pack, Video, Image, Related searches",informational,Organic
copy and paste symbols tumblr,22,22,70,0,0.00,https://emojidb.org/tumblr-emojis,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
copy and paste symbols tumblr,37,37,70,0,0.00,https://emojidb.org/tumblr-emojis,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
copy and paste symbols tumblr,54,54,70,0,0.00,https://emojidb.org/tumblr-girl-emojis,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
آرم پژو,6,6,140,0,0.00,https://emojidb.org/%D8%A2%D8%B1%D9%85-%D9%BE%DA%98%D9%88-emojis,3,0,0.00,0,1670000,"100, 80, 80, 66, 52, 52, 66, 66, 52, 52, 42, 42",2026-04-27,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Organic
letter v different fonts,48,48,70,0,0.00,https://emojidb.org/v-emojis,0,0,0.00,0.33,120,"81, 63, 63, 63, 63, 63, 81, 45, 63, 63, 63, 63",2026-06-05,"Image pack, Sitelinks, Video, Related searches",informational,Organic
symbol tumblr,11,11,50,0,0.00,https://emojidb.org/tumblr-symbols-emojis,0,0,0.00,0,90,"0, 0, 81, 0, 3, 6, 9, 3, 6, 65, 3, 0",2026-05-25,"Image pack, Related searches","navigational, transactional",Organic
symbol tumblr,31,31,50,0,0.00,https://emojidb.org/tumblr-emojis,0,0,0.00,0,90,"0, 0, 81, 0, 3, 6, 9, 3, 6, 65, 3, 0",2026-05-25,"Image pack, Related searches","navigational, transactional",Organic
symbol tumblr,43,43,50,0,0.00,https://emojidb.org/symbols-emojis,0,0,0.00,0,90,"0, 0, 81, 0, 3, 6, 9, 3, 6, 65, 3, 0",2026-05-25,"Image pack, Related searches","navigational, transactional",Organic
stitch emoji pins,48,48,90,0,0.00,https://emojidb.org/stitch-emojis,0,0,0.00,0.26,197,"42, 42, 53, 42, 26, 26, 34, 19, 19, 26, 19, 42",2026-06-01,"Image pack, Sitelinks, Video, Image",commercial,Organic
stitch emoji pins,50,50,90,0,0.00,https://emojidb.org/stitch-emojis,0,0,0.00,0.26,197,"42, 42, 53, 42, 26, 26, 34, 19, 19, 26, 19, 42",2026-06-01,"Image pack, Sitelinks, Video, Image",commercial,Organic
drain core,75,75,90,0,0.00,https://emojidb.org/drain-core-emojis,0,0,0.00,0.16,173000000,"7, 7, 9, 9, 11, 7, 9, 11, 9, 7, 7, 7",2026-04-19,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches","commercial, informational",Organic
sonic the hedgehog cupcake rings,64,64,70,0,0.28,https://emojidb.org/,0,0,0.00,1,279000,"34, 42, 34, 34, 34, 34, 19, 19, 26, 26, 19, 11",2026-05-13,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
bun in the oven ornament,33,33,170,0,0.00,https://emojidb.org/bun-in-the-oven-emojis,0,0,0.00,0,491000,"7, 2, 3, 2, 2, 2, 5, 3, 5, 17, 72, 72",2026-05-10,"Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
bun in the oven ornament,48,48,170,0,0.00,https://emojidb.org/bun-in-the-oven-emojis,0,0,0.00,0,491000,"7, 2, 3, 2, 2, 2, 5, 3, 5, 17, 72, 72",2026-05-10,"Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
good clan names for cod,41,41,170,0,0.00,https://emojidb.org/codm-name-symbols-emojis,0,0,0.00,0,2550000,"36, 19, 23, 19, 19, 19, 15, 12, 15, 12, 7, 7",2026-04-29,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
