Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
the letter l in different fonts,26,26,90,0,0.00,https://fsymbols.com/letters/,0,0,0.00,0.01,104,"15, 21, 21, 21, 28, 21, 21, 34, 34, 34, 28, 28",2026-05-13,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
copy and paste symbols tumblr,52,52,70,0,0.00,https://fsymbols.com/,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
copy and paste symbols tumblr,68,68,70,0,0.00,https://fsymbols.com/,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
copy and paste symbols tumblr,70,70,70,0,0.00,https://fsymbols.com/,0,0,0.00,0,1180000,"64, 41, 52, 41, 29, 41, 23, 41, 41, 52, 64, 64",2026-05-09,"Video, Image, Related searches","navigational, transactional",Organic
wood orthodox cross,79,79,140,0,0.43,https://fsymbols.com/signs/cross/,0,0,0.00,1,157,"9, 34, 53, 53, 53, 53, 15, 28, 28, 28, 100, 53",2026-04-23,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",commercial,Organic
creadores de nombres para free fire,28,28,720,0,0.00,https://fsymbols.com/es/generadores/,1,0,0.00,0,22800000,"13, 13, 6, 100, 67, 76, 8, 55, 67, 55, 55, 100",2026-05-08,"Video, Related searches",informational,Organic
current moon phase as an emoji,32,32,320,0,0.00,https://fsymbols.com/signs/moon/,0,0,0.00,0.33,135,"32, 32, 21, 9, 17, 32, 48, 32, 32, 26, 32, 32",2026-06-04,"Video, People also ask, Related searches, AI overview",informational,Organic
custom upside down letter hat,50,50,30,0,1.09,https://fsymbols.com/generators/,0,0,0.00,1,2460000,"0, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 100",2026-05-01,"Sitelinks, Video, Image, Video Carousel, Related searches",commercial,Organic
custom upside down letter hat,64,64,30,0,1.09,https://fsymbols.com/generators/carty/,0,0,0.00,1,2460000,"0, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 100",2026-05-01,"Sitelinks, Video, Image, Video Carousel, Related searches",commercial,Organic
sun and moon symbol meaning,93,93,140,0,0.00,https://fsymbols.com/signs/moon/,0,0,0.00,0,115000000,"43, 43, 53, 43, 43, 34, 43, 53, 43, 34, 34, 43",2026-04-20,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
