set,mode,n_categories,min_de2000,pairs_de_ge10,min_de2000_deutan,pairs_de_ge10_deutan,min_tone_diff_after_2_copies,pairs_tone_ge010_after_2_copies,ttc
saturated,STANDARD,6,25.5702,1,5.20398,0.933333,0.0834917,0.933333,0.0756691
saturated,TINT_75,6,19.2359,1,3.82851,0.866667,0.0627269,0.866667,0.0543834
saturated,TINT_55,6,14.7194,1,2.9071,0.8,0.045853,0.666667,0.0386728
saturated,TINT_30,6,9.54472,0.933333,1.57659,0.733333,4.17233e-07,0,0.0204995
saturated,OPACITY_GROUP_60,6,16.045,1,3.27276,0.8,0.05325,0.666667,0.0426018
saturated,GRAYSCALE,6,5.32969,0.8,5.32969,0.8,0.0857994,0.933333,0.0271602
saturated,BW_THRESHOLD,6,0,0.6,0,0.6,4.17233e-07,0.6,0.0276171
saturated,BW_SEMANTIC,6,0,0.6,0,0.6,4.17233e-07,0.6,0.0290881
saturated,HALFTONE_H,6,14.2798,1,2.84989,0.8,0.04032,0.6,0.039879
saturated,HALFTONE_M,6,9.42106,0.933333,1.71782,0.8,0.0194424,0.2,0.0229787
saturated,HALFTONE_L,6,5.96591,0.8,0.853019,0.533333,0.00557131,0,0.0108817
saturated,DITHER_M,6,9.29254,0.933333,1.48788,0.666667,4.17233e-07,0,0.020975
saturated,OUTLINE_ONLY,6,25.5702,1,5.20398,0.933333,0.0834917,0.933333,0.0756691
pastel,STANDARD,4,10.8649,1,3.76268,0.666667,1.3113e-05,0,0.006873
pastel,TINT_75,4,9.23282,0.833333,3.2815,0.5,1.3113e-05,0,0.00517569
pastel,TINT_55,4,6.5358,0.5,2.55884,0.333333,1.3113e-05,0,0.00375003
pastel,TINT_30,4,3.63996,0,1.20951,0,1.3113e-05,0,0.00207173
pastel,OPACITY_GROUP_60,4,6.99342,0.666667,2.69624,0.333333,1.3113e-05,0,0.00407689
pastel,GRAYSCALE,4,0.207095,0,0.207095,0,1.3113e-05,0,0.00228152
pastel,BW_THRESHOLD,4,0,0,0,0,1.3113e-05,0,0
pastel,BW_SEMANTIC,4,0,0,0,0,1.3113e-05,0,0.00184792
pastel,HALFTONE_H,4,6.18567,0.5,2.11304,0.333333,1.3113e-05,0,0.00368675
pastel,HALFTONE_M,4,3.68037,0,1.27599,0,1.3113e-05,0,0.00213167
pastel,HALFTONE_L,4,1.83256,0,0.617078,0,1.3113e-05,0,0.00102065
pastel,DITHER_M,4,3.52478,0,1.18073,0,1.3113e-05,0,0.0020362
pastel,OUTLINE_ONLY,4,10.8649,1,3.76268,0.666667,1.3113e-05,0,0.006873
