archetype,archetype_key,mode,note,family,rel_ttc_mean,rel_wd_mean,abs_ttc_mean_pp,q_gen0_mean,copy_retention_mean,rater_usability,effective_complexity,runner_up
A,SPARSE_LINE,STANDARD (leave unchanged),"no method met function, copy-retention and rater constraints with a real saving",,,,,,,,,
B,DENSE_LINE,OPACITY_GROUP_75,,opacity,0.25,0.25,1.3845,1,0.91053,4.5,1,COMBINED_REMOVE+TINT_75
C,TEXT_HEAVY,OPACITY_GROUP_75,,opacity,0.25,0.25,0.78636,1,0.94174,4.5,1,COMBINED_REMOVE+TINT_75
D,MIXED,ECO_COLOUR,,eco,0.33095,0.16543,0.65431,0.98547,0.99998,5,2,DECOR_REMOVAL
E,IMAGE_HEAVY,TINT_FILL_55,,lighter,0.44044,0.35731,4.247,0.95184,1,4,2,COMBINED_ECO+STRUCT_75
F,LARGE_SOLID,ECO_COLOUR,,eco,0.61159,0.53307,51.657,0.99433,1,5,2,COMBINED_ECO+STRUCT_75
G,OUTLINE_ART,OPACITY_GROUP_75,,opacity,0.25,0.25,0.28644,0.99914,0.90353,5,1,COMBINED_REMOVE+TINT_75
H,TABLE_GRID,COMBINED_REMOVE+TINT_75,,combined,0.36109,0.36109,0.97533,1,0.93429,4.5,2,COMBINED_ECO+STRUCT_75
I,COLOUR_CODED,COMBINED_ECO+STRUCT_75,,combined,0.48256,0.42196,13.229,1,0.98415,5,2,ECO_COLOUR
J,PHOTOCOPY_MASTER,STANDARD (leave unchanged),"no method met function, copy-retention and rater constraints with a real saving",,,,,,,,,
K,DECORATIVE_WORKSHEET,COMBINED_REMOVE+TINT_75,,combined,0.97975,0.92215,40.873,1,0.9595,4.3333,2,COMBINED_ECO+STRUCT_75
L,CUTTABLE,DECOR_REMOVAL,,removal,0.61677,0.56397,21.29,0.95383,0.99998,5,2,TINT_FILL_55
