mode,archetype,rel_ttc_mean,rel_ttc_median,rel_ttc_min,rel_ttc_max,abs_ttc_mean,ttc_std_mean,q_gen0_mean,q_gen0_min,photocopy_retention_mean,n,n_failed,n_promising
BG_REMOVAL,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
BG_REMOVAL,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
BG_REMOVAL,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
BG_REMOVAL,D,0,0,0,0,0,0.020856,1,1,1,9,0,0
BG_REMOVAL,E,0,0,0,0,0,0.096146,1,1,1,9,0,0
BG_REMOVAL,F,0.23226,0.2331,0,0.49307,0.23728,0.80253,1,1,1,9,0,0
BG_REMOVAL,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
BG_REMOVAL,H,0,0,0,0,0,0.027569,1,1,1,9,0,0
BG_REMOVAL,I,0,0,0,0,0,0.27454,1,1,1,9,0,0
BG_REMOVAL,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
BG_REMOVAL,K,0.58733,0.58956,0.47696,0.69434,0.24199,0.41731,1,1,0.99964,9,0,0
BG_REMOVAL,L,0,0,0,0,0,0.26687,1,1,1,9,0,0
BW_SEMANTIC,A,-0.86277,-0.91838,-1.1482,-0.50887,-0.014564,0.015477,0.97915,0.96196,0.98004,9,0,0
BW_SEMANTIC,B,-0.11195,-0.1121,-0.11264,-0.11108,-0.0062001,0.055382,1,1,1,9,0,0
BW_SEMANTIC,C,-0.11137,-0.11145,-0.11207,-0.11062,-0.0035039,0.031454,1,1,1,9,0,0
BW_SEMANTIC,D,0.20555,0.20986,0.1204,0.29533,0.0042338,0.020856,0.91733,0.90338,1,9,0,0
BW_SEMANTIC,E,0.39005,0.39499,0.37068,0.40597,0.03777,0.096146,0.89581,0.88393,1,9,0,0
BW_SEMANTIC,F,0.61728,0.6325,0.45548,0.73985,0.52238,0.80253,0.80372,0.72136,0.99997,9,5,0
BW_SEMANTIC,G,-0.11273,-0.11265,-0.11303,-0.11244,-0.0012914,0.011458,1,1,0.99997,9,0,0
BW_SEMANTIC,H,0.056668,0.049227,-0.026034,0.1496,0.0012636,0.027569,0.92026,0.83587,0.935,9,0,0
BW_SEMANTIC,I,0.57168,0.56375,0.52837,0.61515,0.15855,0.27454,0.6,0.6,1,9,9,0
BW_SEMANTIC,J,-0.37949,-0.42315,-0.5286,-0.11242,-0.0056578,0.013714,0.9994,0.99843,0.99941,9,0,0
BW_SEMANTIC,K,0.71594,0.71836,0.64293,0.78732,0.29681,0.41731,1,1,1,9,0,0
BW_SEMANTIC,L,0.65733,0.6639,0.57785,0.74215,0.18815,0.26687,0.85258,0.58101,0.89013,9,3,0
BW_THRESHOLD,A,0.28582,0.31677,0.042895,0.45383,0.0048088,0.015477,0.0043292,0,0.00977,9,9,0
BW_THRESHOLD,B,-0.0387,-0.038821,-0.078269,0.00063948,-0.002188,0.055382,0.81329,0.67658,0.81741,9,3,0
BW_THRESHOLD,C,-0.063507,-0.061262,-0.073481,-0.055754,-0.0019921,0.031454,0.94275,0.92708,0.9711,9,0,0
BW_THRESHOLD,D,0.40313,0.39448,0.30001,0.58645,0.0078833,0.020856,0.64622,0.25839,0.64745,9,7,0
BW_THRESHOLD,E,0.52827,0.53072,0.43312,0.58274,0.05151,0.096146,0.68363,0.63367,0.98868,9,9,0
BW_THRESHOLD,F,0.62277,0.63859,0.46122,0.74416,0.52635,0.80253,0.78825,0.70898,0.90055,9,5,0
BW_THRESHOLD,G,-0.093078,-0.087783,-0.10613,-0.081033,-0.0010545,0.011458,0.93513,0.86254,0.97209,9,0,0
BW_THRESHOLD,H,0.1187,0.12795,0.068003,0.16539,0.0029705,0.027569,0.8932,0.78154,0.89528,9,2,0
BW_THRESHOLD,I,0.57168,0.56398,0.5282,0.61547,0.15858,0.27454,0.6,0.6,0.98818,9,9,0
BW_THRESHOLD,J,0.076744,0.071272,-0.089941,0.17618,0.001149,0.013714,0.1079,0,0.11007,9,8,0
BW_THRESHOLD,K,0.89081,0.8928,0.85398,0.92437,0.371,0.41731,0.87735,0.76792,0.8801,9,2,0
BW_THRESHOLD,L,0.73908,0.74603,0.68993,0.76441,0.19856,0.26687,0.57733,0.26043,0.57949,9,8,0
COMBINED_ECO+STRUCT_75,A,0.24968,0.25004,0.24784,0.25091,0.0038676,0.015477,0.94095,0.90408,0.020749,9,0,0
COMBINED_ECO+STRUCT_75,B,0.24405,0.24427,0.24181,0.24607,0.013522,0.055382,1,1,0.91048,9,0,0
COMBINED_ECO+STRUCT_75,C,0.23389,0.23436,0.22808,0.23929,0.0073648,0.031454,1,1,0.95502,9,0,0
COMBINED_ECO+STRUCT_75,D,0.48408,0.47521,0.42234,0.58073,0.0098027,0.020856,0.99463,0.98969,0.77876,9,0,5
COMBINED_ECO+STRUCT_75,E,0.30897,0.31052,0.2985,0.3204,0.029629,0.096146,0.98901,0.98742,0.99777,9,0,8
COMBINED_ECO+STRUCT_75,F,0.61159,0.60816,0.48906,0.74629,0.51657,0.80253,0.99433,0.99095,1,9,0,6
