colour,kind,area_nominal,pitch_mm,lpi,marked_area,total_tonal_coverage,weighted_darkness,perceived_L,perceived_a,perceived_b,pattern_visibility_rms,rescreen_visibility_rms,rescreen_lowfreq_rms,rescreen_coverage,pc1_mean_tone,pc2_mean_tone,pc2_visibility_rms,svg_bytes,pdf_bytes,pdf_images,pdf_xobjects,pdf_pattern_objects,pdf_content_bytes,png300_bytes,mupdf_ttc,pdfium_ttc,resvg_ttc,t_pdf,de2000_vs_equal_tint,ttc_ratio_vs_equal_tint
navy,flat_full,1,,nan,1,1.61164,0.644854,43.0264,11.9322,-53.8313,2.38419e-07,0.0238968,0.0206321,0.710378,0.681077,0.726318,0.00342366,231,892,0,0,0,168,3179,1.61224,1.61164,1.61164,0.0130918,,
navy,flat_tint,0.15,,nan,0,0.197896,0.0962369,91.77,-1.45627,-7.07797,7.15256e-07,0.0217813,0.0200664,0.0666907,0.011961,0.0119382,0.00140619,231,893,0,0,0,168,3094,0.202481,0.197896,0.197896,0.0161058,,
navy,halftone,0.15,0.35,72.5714,0.122357,0.222204,0.0952737,91.5639,-1.35107,-7.84623,0.00376708,0.0263087,0.00194307,0.0902491,0.0211362,0.0119382,0.00140619,454,2901,0,0,1,165,349684,0.173073,0.177122,0.235592,0.0112188,0.615555,1.12283
navy,halftone,0.15,0.5,50.8,0.13195,0.226472,0.0958374,91.5181,-1.35664,-7.88174,0.0246466,0.0323031,0.00814613,0.0942934,0.0419676,0.0119859,0.00147726,454,4595,0,0,1,165,303306,0.149636,0.152865,0.216804,0.0115315,0.644845,1.1444
navy,halftone,0.15,1,25.4,0.142169,0.230863,0.0946209,91.6319,-1.34048,-7.76837,0.106854,0.1152,0.00446376,0.0991571,0.0771519,0.0491384,0.0436912,456,55951,0,0,1,165,180738,0.204362,0.20795,0.226569,0.0222029,0.557356,1.16659
navy,halftone,0.15,2,12.7,0.144241,0.233384,0.0945846,91.6296,-1.3401,-7.76697,0.171136,0.186946,0.00335333,0.101557,0.0945966,0.0833671,0.137658,456,57896,0,0,1,165,107770,0.20241,0.202884,0.241429,0.0145011,0.55676,1.17933
navy,dither_fs,0.15,4.064,nan,0.143989,0.218503,0.0928628,91.7853,-1.34259,-7.63875,0.00969396,0.0359048,0.00695497,0.0909786,0.0139583,0.0119382,0.00140619,1427,59947,0,0,1,165,337911,0.233819,0.233409,0.232059,0.0201665,0.457851,1.10413
navy,flat_tint,0.3,,nan,0,0.405018,0.192757,82.5052,-1.61423,-17.4053,1.78814e-07,0.0156388,0.0128906,0.137131,0.115956,0.0245612,0.00263142,231,891,0,0,0,168,3157,0.409256,0.405018,0.405018,0.009748,,
navy,halftone,0.3,0.35,72.5714,0.273965,0.463584,0.193882,82.8046,-2.27752,-16.0805,0.00598457,0.0352006,0.00467234,0.194635,0.117707,0.0274376,0.00305034,454,2901,0,0,1,165,510805,0.283118,0.283824,0.483219,0.0162941,1.0261,1.1446
navy,halftone,0.3,0.5,50.8,0.297848,0.481772,0.200345,82.2312,-2.29901,-16.5888,0.0382512,0.0460853,0.00916318,0.203647,0.134444,0.0567143,0.00907521,454,7009,0,0,1,165,464622,0.304679,0.307419,0.439412,0.00966257,0.869698,1.18951
navy,halftone,0.3,1,25.4,0.289668,0.470002,0.191455,83.0374,-2.22374,-15.8062,0.155009,0.170278,0.00652232,0.203554,0.165204,0.127911,0.102693,456,57539,0,0,1,165,266163,0.434493,0.436251,0.457813,0.0184568,1.14411,1.16045
navy,halftone,0.3,2,12.7,0.294342,0.473954,0.19144,83.0458,-2.22369,-15.7874,0.231087,0.254629,0.00579199,0.207181,0.189071,0.177236,0.21778,456,64153,0,0,1,165,148542,0.414353,0.41367,0.483225,0.0148466,1.15409,1.17021
navy,dither_fs,0.3,4.064,nan,0.297794,0.452637,0.192035,82.9613,-2.26826,-15.9259,0.00570804,0.0318143,0.0121493,0.1903,0.115058,0.0244941,0.00427864,1483,62608,0,0,1,165,597750,0.510113,0.509806,0.479937,0.0318175,1.10713,1.11757
navy,flat_tint,0.55,,nan,1,0.7918,0.35586,68.129,-0.710599,-30.9788,0,0.0240411,0.0208501,0.290414,0.319835,0.274766,0.00342366,231,893,0,0,0,168,3162,0.794144,0.7918,0.7918,0.00704665,,
navy,halftone,0.55,0.35,72.5714,0.534534,0.87934,0.363547,67.6403,-1.9294,-30.4426,0.00636128,0.0341115,0.00834424,0.374808,0.329443,0.286776,0.00405646,454,2900,0,0,1,165,617434,0.679604,0.681544,0.885524,0.0206969,0.901772,1.11056
navy,halftone,0.55,0.5,50.8,0.521188,0.84077,0.345517,69.2688,-2.13679,-28.8575,0.0410911,0.0582838,0.018466,0.360882,0.306926,0.258629,0.014366,454,6815,0,0,1,165,544031,0.693051,0.694894,0.827304,0.0146462,1.21679,1.06185
navy,halftone,0.55,1,25.4,0.523464,0.843824,0.342363,69.5888,-2.21794,-28.5318,0.162322,0.182471,0.00987667,0.367033,0.317185,0.28306,0.142925,456,49096,0,0,1,165,350932,0.845298,0.843497,0.841818,0.0201483,1.45113,1.0657
