combo,a,b,metric,doc_id,archetype,combined,a_alone,b_alone,additive_prediction,interaction,multiplicative_prediction,interaction_vs_multiplicative,q_combined
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-H-L-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-H-L-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-H-M-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-H-M-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-H-S-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-H-S-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-L-L-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-L-L-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-L-M-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-L-M-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-L-S-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-L-S-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-M-L-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-M-L-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-M-M-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-M-M-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,A-M-S-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,A-M-S-A4-s0,A,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-H-L-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-H-L-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-H-M-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-H-M-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-H-S-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-H-S-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-L-L-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-L-L-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-L-M-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-L-M-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-L-S-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-L-S-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-M-L-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-M-L-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-M-M-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-M-M-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,B-M-S-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,B-M-S-A4-s0,B,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-H-L-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-H-L-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-H-M-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-H-M-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-H-S-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-H-S-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-L-L-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-L-L-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-L-M-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-L-M-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-L-S-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-L-S-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-M-L-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-M-L-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,ttc,C-M-M-A4-s0,C,0,0,0,0,0,0,0,1
INT_REMOVE_ALL,BG_REMOVAL,DECOR_REMOVAL,wd,C-M-M-A4-s0,C,0,0,0,0,0,0,0,1
