mode,dpi,colour,style,width_mm,colour_after,width_after_mm,nominal_tone,g0_continuity,g0_peak_tone_median,raster_fidelity,rendered_wcag_cr,nominal_wcag_cr,tone_per_mm,pc1_continuity,pc1_peak_tone_median,pc2_continuity,pc2_peak_tone_median,pc3_continuity,pc3_peak_tone_median
STANDARD,150,black,solid,0.05,#1a1a1a,0.05,0.898039,0,0.129166,0.143831,1.34536,17.4043,0.0437441,0,0.0597912,0,0.0592837,0,0.0592497
STANDARD,150,black,solid,0.1,#1a1a1a,0.1,0.898039,1,0.380115,0.423272,2.67916,17.4043,0.0896314,0.995485,0.226095,0.0349887,0.0871179,0,0.0593823
STANDARD,150,black,solid,0.18,#1a1a1a,0.18,0.898039,1,0.898039,1,17.4043,17.4043,0.152068,1,0.631571,1,0.430901,0.998871,0.258386
STANDARD,150,black,solid,0.25,#1a1a1a,0.25,0.898039,1,0.898039,1,17.4043,17.4043,0.190567,1,0.678076,1,0.50929,1,0.358788
STANDARD,150,black,solid,0.35,#1a1a1a,0.35,0.898039,1,0.898039,1,17.4043,17.4043,0.304967,1,0.812424,1,0.736188,1,0.659868
STANDARD,150,black,solid,0.5,#1a1a1a,0.5,0.898039,1,0.898039,1,17.4043,17.4043,0.4568,1,0.921791,1,0.926115,1,0.928733
STANDARD,150,black,solid,0.75,#1a1a1a,0.75,0.898039,1,0.898039,1,17.4043,17.4043,0.684604,1,1,1,1,1,1
STANDARD,150,black,dashed,0.05,#1a1a1a,0.05,0.898039,1,0.251134,0.279647,1.83889,17.4043,0.0438535,0.0258824,0.0885658,0,0.059827,0,0.0591616
STANDARD,150,black,dashed,0.1,#1a1a1a,0.1,0.898039,1,0.431526,0.480521,3.15175,17.4043,0.0903528,1,0.261725,0.122353,0.104595,0,0.0589967
STANDARD,150,black,dashed,0.18,#1a1a1a,0.18,0.898039,1,0.679123,0.756229,7.81388,17.4043,0.19133,1,0.534611,1,0.407827,1,0.283737
STANDARD,150,black,dashed,0.25,#1a1a1a,0.25,0.898039,1,0.679123,0.756229,7.81388,17.4043,0.229996,1,0.600446,1,0.503501,1,0.405239
STANDARD,150,black,dashed,0.35,#1a1a1a,0.35,0.898039,1,0.898039,1,17.4043,17.4043,0.305566,1,0.813898,1,0.737888,1,0.657572
STANDARD,150,black,dashed,0.5,#1a1a1a,0.5,0.898039,1,0.898039,1,17.4043,17.4043,0.456204,1,0.992904,1,0.99719,1,0.99848
STANDARD,150,black,dashed,0.75,#1a1a1a,0.75,0.898039,1,0.898039,1,17.4043,17.4043,0.684604,1,1,1,1,1,1
STANDARD,150,guide_grey,solid,0.05,#9e9e9e,0.05,0.380392,0,0.058639,0.154154,1.13961,2.67916,0.0179294,0,0.0588983,0,0.0593407,0,0.0593731
STANDARD,150,guide_grey,solid,0.1,#9e9e9e,0.1,0.380392,0,0.144683,0.380352,1.39795,2.67916,0.0377703,0,0.0603904,0,0.0598063,0,0.0597838
STANDARD,150,guide_grey,solid,0.18,#9e9e9e,0.18,0.380392,1,0.380392,1,2.67916,2.67916,0.0804128,0.98307,0.21454,0.00112867,0.0737405,0,0.0605536
STANDARD,150,guide_grey,solid,0.25,#9e9e9e,0.25,0.380392,1,0.380392,1,2.67916,2.67916,0.0964126,0.996614,0.233188,0.0327314,0.0878034,0,0.0594261
STANDARD,150,guide_grey,solid,0.35,#9e9e9e,0.35,0.380392,1,0.380392,1,2.67916,2.67916,0.128659,1,0.272432,0.518059,0.151773,0.00112867,0.0616181
STANDARD,150,guide_grey,solid,0.5,#9e9e9e,0.5,0.380392,1,0.380392,1,2.67916,2.67916,0.194158,1,0.327541,0.998871,0.241608,0.360045,0.136303
STANDARD,150,guide_grey,solid,0.75,#9e9e9e,0.75,0.380392,1,0.380392,1,2.67916,2.67916,0.290318,1,0.367546,1,0.31997,1,0.250164
STANDARD,150,guide_grey,dashed,0.05,#9e9e9e,0.05,0.380392,0,0.102007,0.268162,1.25969,2.67916,0.0192601,0,0.0603064,0,0.0588763,0,0.0596715
STANDARD,150,guide_grey,dashed,0.1,#9e9e9e,0.1,0.380392,1,0.195417,0.513726,1.58972,2.67916,0.0377312,0,0.0668062,0,0.0595053,0,0.0609766
STANDARD,150,guide_grey,dashed,0.18,#9e9e9e,0.18,0.380392,1,0.286413,0.752941,2.02787,2.67916,0.064499,0.317647,0.13651,0,0.0597417,0,0.0604817
STANDARD,150,guide_grey,dashed,0.25,#9e9e9e,0.25,0.380392,1,0.286413,0.752941,2.02787,2.67916,0.0969985,0.957647,0.189936,0.00470588,0.0801796,0,0.059771
STANDARD,150,guide_grey,dashed,0.35,#9e9e9e,0.35,0.380392,1,0.380392,1,2.67916,2.67916,0.128912,1,0.26944,0.524706,0.151999,0,0.0625188
STANDARD,150,guide_grey,dashed,0.5,#9e9e9e,0.5,0.380392,1,0.380392,1,2.67916,2.67916,0.193239,1,0.350497,1,0.277326,0.776471,0.17902
STANDARD,150,guide_grey,dashed,0.75,#9e9e9e,0.75,0.380392,1,0.380392,1,2.67916,2.67916,0.274405,1,0.357612,1,0.303601,0.990588,0.228179
STANDARD,150,trace_grey,solid,0.05,#c4c4c4,0.05,0.231373,0,0.0431526,0.186507,1.09987,1.74415,0.0113149,0,0.059597,0,0.0590736,0,0.0582192
STANDARD,150,trace_grey,solid,0.1,#c4c4c4,0.1,0.231373,0,0.0780316,0.337255,1.19214,1.74415,0.023221,0,0.0592964,0,0.0590727,0,0.0592754
STANDARD,150,trace_grey,solid,0.18,#c4c4c4,0.18,0.231373,1,0.173303,0.74902,1.49699,1.74415,0.0393457,0,0.0631676,0,0.0595202,0,0.0603814
STANDARD,150,trace_grey,solid,0.25,#c4c4c4,0.25,0.231373,1,0.231373,1,1.74415,1.74415,0.0591788,0.0316027,0.0947056,0,0.0609196,0,0.0608604
STANDARD,150,trace_grey,solid,0.35,#c4c4c4,0.35,0.231373,1,0.231373,1,1.74415,1.74415,0.0785248,0.111738,0.119163,0,0.0599507,0,0.0590753
STANDARD,150,trace_grey,solid,0.5,#c4c4c4,0.5,0.231373,1,0.231373,1,1.74415,1.74415,0.118358,0.606095,0.156046,0.00112867,0.0657742,0,0.0598593
STANDARD,150,trace_grey,solid,0.75,#c4c4c4,0.75,0.231373,1,0.231373,1,1.74415,1.74415,0.166716,0.919865,0.180984,0.0282167,0.0900827,0,0.0588656
STANDARD,150,trace_grey,dashed,0.05,#c4c4c4,0.05,0.231373,0,0.0553018,0.239016,1.12949,1.74415,0.0106821,0,0.0586855,0,0.0607513,0,0.0600438
STANDARD,150,trace_grey,dashed,0.1,#c4c4c4,0.1,0.231373,0,0.12975,0.560784,1.34536,1.74415,0.0233017,0,0.0588382,0,0.0599424,0,0.059357
STANDARD,150,trace_grey,dashed,0.18,#c4c4c4,0.18,0.231373,1,0.177163,0.765703,1.51192,1.74415,0.0399994,0,0.0648194,0,0.057979,0,0.0606163
STANDARD,150,trace_grey,dashed,0.25,#c4c4c4,0.25,0.231373,1,0.177163,0.765703,1.51192,1.74415,0.0599991,0,0.0799064,0,0.0582949,0,0.0593607
STANDARD,150,trace_grey,dashed,0.35,#c4c4c4,0.35,0.231373,1,0.231373,1,1.74415,1.74415,0.0791785,0.12,0.11924,0,0.0608533,0,0.0597726
STANDARD,150,trace_grey,dashed,0.5,#c4c4c4,0.5,0.231373,1,0.231373,1,1.74415,1.74415,0.108358,0.6,0.155679,0,0.0663589,0,0.0612984
STANDARD,150,trace_grey,dashed,0.75,#c4c4c4,0.75,0.231373,1,0.231373,1,1.74415,1.74415,0.167536,0.908235,0.175459,0.0141176,0.0863258,0,0.0616632
STANDARD,300,black,solid,0.05,#1a1a1a,0.05,0.898039,1,0.266436,0.296686,1.9198,17.4043,0.0451165,0.00846979,0.0865639,0,0.0679934,0,0.0679186
STANDARD,300,black,solid,0.1,#1a1a1a,0.1,0.898039,1,0.898039,1,17.4043,17.4043,0.0952837,1,0.321791,0.32524,0.137903,0,0.0686205
STANDARD,300,black,solid,0.18,#1a1a1a,0.18,0.898039,1,0.898039,1,17.4043,17.4043,0.171318,1,0.58806,1,0.412923,1,0.272237
STANDARD,300,black,solid,0.25,#1a1a1a,0.25,0.898039,1,0.898039,1,17.4043,17.4043,0.228517,1,0.740655,1,0.586753,1,0.465008
STANDARD,300,black,solid,0.35,#1a1a1a,0.35,0.898039,1,0.898039,1,17.4043,17.4043,0.323468,1,0.896676,1,0.818917,1,0.742677
STANDARD,300,black,solid,0.5,#1a1a1a,0.5,0.898039,1,0.898039,1,17.4043,17.4043,0.43737,1,0.984814,1,0.99767,1,0.987873
STANDARD,300,black,solid,0.75,#1a1a1a,0.75,0.898039,1,0.898039,1,17.4043,17.4043,0.684306,1,1,1,1,1,1
STANDARD,300,black,dashed,0.05,#1a1a1a,0.05,0.898039,1,0.298408,0.332289,2.0967,17.4043,0.0448157,0.00588235,0.0863446,0,0.0675962,0,0.0681113
STANDARD,300,black,dashed,0.1,#1a1a1a,0.1,0.898039,1,0.898039,1,17.4043,17.4043,0.0952837,1,0.320324,0.324706,0.13624,0,0.067139
STANDARD,300,black,dashed,0.18,#1a1a1a,0.18,0.898039,1,0.898039,1,17.4043,17.4043,0.152783,1,0.521092,1,0.344242,0.958824,0.197827
STANDARD,300,black,dashed,0.25,#1a1a1a,0.25,0.898039,1,0.898039,1,17.4043,17.4043,0.228817,1,0.741904,1,0.585392,1,0.45838
STANDARD,300,black,dashed,0.35,#1a1a1a,0.35,0.898039,1,0.898039,1,17.4043,17.4043,0.323767,1,0.897231,1,0.818736,1,0.741598
STANDARD,300,black,dashed,0.5,#1a1a1a,0.5,0.898039,1,0.898039,1,17.4043,17.4043,0.456204,1,0.997383,1,1,1,1
STANDARD,300,black,dashed,0.75,#1a1a1a,0.75,0.898039,1,0.898039,1,17.4043,17.4043,0.684306,1,1,1,1,1,1
STANDARD,300,guide_grey,solid,0.05,#9e9e9e,0.05,0.380392,0,0.141669,0.372428,1.38454,2.67916,0.0192862,0,0.0677143,0.000564653,0.0678838,0,0.067977
STANDARD,300,guide_grey,solid,0.1,#9e9e9e,0.1,0.380392,1,0.380392,1,2.67916,2.67916,0.0402064,0.00225861,0.077783,0,0.0681815,0,0.067998
STANDARD,300,guide_grey,solid,0.18,#9e9e9e,0.18,0.380392,1,0.380392,1,2.67916,2.67916,0.0643297,0.556183,0.153403,0,0.067882,0,0.0681803
STANDARD,300,guide_grey,solid,0.25,#9e9e9e,0.25,0.380392,1,0.380392,1,2.67916,2.67916,0.088746,0.999435,0.223096,0.00451722,0.0826175,0,0.0684334
STANDARD,300,guide_grey,solid,0.35,#9e9e9e,0.35,0.380392,1,0.380392,1,2.67916,2.67916,0.129286,1,0.302749,0.839074,0.177174,0,0.0705001
STANDARD,300,guide_grey,solid,0.5,#9e9e9e,0.5,0.380392,1,0.380392,1,2.67916,2.67916,0.193239,1,0.360914,1,0.28194,0.824393,0.175808
STANDARD,300,guide_grey,solid,0.75,#9e9e9e,0.75,0.380392,1,0.380392,1,2.67916,2.67916,0.281776,1,0.3801,1,0.329454,1,0.258196
STANDARD,300,guide_grey,dashed,0.05,#9e9e9e,0.05,0.380392,1,0.153649,0.403922,1.4253,2.67916,0.018639,0,0.0682167,0,0.0686555,0,0.0677504
STANDARD,300,guide_grey,dashed,0.1,#9e9e9e,0.1,0.380392,1,0.286413,0.752941,2.02787,2.67916,0.0322495,0,0.0690209,0,0.0676312,0,0.0678384
STANDARD,300,guide_grey,dashed,0.18,#9e9e9e,0.18,0.380392,1,0.380392,1,2.67916,2.67916,0.0727892,0.897647,0.181096,0,0.0695858,0,0.067444
STANDARD,300,guide_grey,dashed,0.25,#9e9e9e,0.25,0.380392,1,0.380392,1,2.67916,2.67916,0.0970792,1,0.240992,0.0341176,0.0984674,0,0.0672595
STANDARD,300,guide_grey,dashed,0.35,#9e9e9e,0.35,0.380392,1,0.380392,1,2.67916,2.67916,0.129286,1,0.301402,0.844706,0.176659,0,0.0701144
STANDARD,300,guide_grey,dashed,0.5,#9e9e9e,0.5,0.380392,1,0.380392,1,2.67916,2.67916,0.185282,1,0.356132,1,0.269403,0.596471,0.156522
STANDARD,300,guide_grey,dashed,0.75,#9e9e9e,0.75,0.380392,1,0.380392,1,2.67916,2.67916,0.281902,1,0.381783,1,0.328638,1,0.256634
STANDARD,300,trace_grey,solid,0.05,#c4c4c4,0.05,0.231373,0,0.106113,0.458624,1.27146,1.74415,0.011992,0,0.0679229,0,0.0678911,0,0.0677853
STANDARD,300,trace_grey,solid,0.1,#c4c4c4,0.1,0.231373,1,0.173303,0.74902,1.49699,1.74415,0.0246728,0,0.0682442,0,0.068216,0,0.0674759
STANDARD,300,trace_grey,solid,0.18,#c4c4c4,0.18,0.231373,1,0.231373,1,1.74415,1.74415,0.0442623,0,0.0770166,0,0.0678325,0,0.0684424
STANDARD,300,trace_grey,solid,0.25,#c4c4c4,0.25,0.231373,1,0.231373,1,1.74415,1.74415,0.0591788,0.0395257,0.103747,0,0.0678565,0,0.0681109
STANDARD,300,trace_grey,solid,0.35,#c4c4c4,0.35,0.231373,1,0.231373,1,1.74415,1.74415,0.0834414,0.47939,0.148684,0,0.068391,0,0.0685107
STANDARD,300,trace_grey,solid,0.5,#c4c4c4,0.5,0.231373,1,0.231373,1,1.74415,1.74415,0.112621,0.906832,0.176245,0.00112931,0.0757864,0,0.0675426
STANDARD,300,trace_grey,solid,0.75,#c4c4c4,0.75,0.231373,1,0.231373,1,1.74415,1.74415,0.176389,0.997177,0.19601,0.025974,0.104016,0,0.0675806
STANDARD,300,trace_grey,dashed,0.05,#c4c4c4,0.05,0.231373,0,0.114418,0.494517,1.29546,1.74415,0.011673,0,0.0679899,0,0.0677629,0,0.0675544
STANDARD,300,trace_grey,dashed,0.1,#c4c4c4,0.1,0.231373,1,0.177163,0.765703,1.51192,1.74415,0.0249996,0,0.0691725,0,0.0670533,0,0.0681407
STANDARD,300,trace_grey,dashed,0.18,#c4c4c4,0.18,0.231373,1,0.231373,1,1.74415,1.74415,0.0395892,0,0.071889,0,0.0675459,0,0.0687451
STANDARD,300,trace_grey,dashed,0.25,#c4c4c4,0.25,0.231373,1,0.231373,1,1.74415,1.74415,0.0591788,0.0411765,0.105468,0,0.0673987,0,0.0690573
STANDARD,300,trace_grey,dashed,0.35,#c4c4c4,0.35,0.231373,1,0.231373,1,1.74415,1.74415,0.0837682,0.488235,0.149327,0,0.068154,0,0.0685737
STANDARD,300,trace_grey,dashed,0.5,#c4c4c4,0.5,0.231373,1,0.231373,1,1.74415,1.74415,0.117947,0.92,0.177861,0,0.0774418,0,0.0692146
STANDARD,300,trace_grey,dashed,0.75,#c4c4c4,0.75,0.231373,1,0.231373,1,1.74415,1.74415,0.171716,0.991765,0.195929,0.0247059,0.101808,0,0.0683525
STANDARD,600,black,solid,0.05,#1a1a1a,0.05,0.898039,1,0.898039,1,17.4043,17.4043,0.038017,0.00169348,0.0868829,0,0.0757961,0,0.0754208
STANDARD,600,black,solid,0.1,#1a1a1a,0.1,0.898039,1,0.898039,1,17.4043,17.4043,0.0856999,1,0.290681,0.0683037,0.115016,0,0.0755951
STANDARD,600,black,solid,0.18,#1a1a1a,0.18,0.898039,1,0.898039,1,17.4043,17.4043,0.161693,1,0.588985,1,0.40129,1,0.254906
STANDARD,600,black,solid,0.25,#1a1a1a,0.25,0.898039,1,0.898039,1,17.4043,17.4043,0.228102,1,0.776804,1,0.616569,1,0.48957
STANDARD,600,black,solid,0.35,#1a1a1a,0.35,0.898039,1,0.898039,1,17.4043,17.4043,0.313761,1,0.915718,1,0.825943,1,0.743123
STANDARD,600,black,solid,0.5,#1a1a1a,0.5,0.898039,1,0.898039,1,17.4043,17.4043,0.446895,1,1,1,1,1,1
STANDARD,600,black,solid,0.75,#1a1a1a,0.75,0.898039,1,0.898039,1,17.4043,17.4043,0.674997,1,1,1,1,1,1
STANDARD,600,black,dashed,0.05,#1a1a1a,0.05,0.898039,1,0.679123,0.756229,7.81388,17.4043,0.0383744,0.00352734,0.0862765,0,0.0758516,0,0.0757561
STANDARD,600,black,dashed,0.1,#1a1a1a,0.1,0.898039,1,0.898039,1,17.4043,17.4043,0.0952837,1,0.332479,0.522046,0.151314,0,0.0751021
STANDARD,600,black,dashed,0.18,#1a1a1a,0.18,0.898039,1,0.898039,1,17.4043,17.4043,0.161693,1,0.587495,1,0.399028,1,0.253052
STANDARD,600,black,dashed,0.25,#1a1a1a,0.25,0.898039,1,0.898039,1,17.4043,17.4043,0.218793,1,0.745406,1,0.582605,1,0.452146
STANDARD,600,black,dashed,0.35,#1a1a1a,0.35,0.898039,1,0.898039,1,17.4043,17.4043,0.313952,1,0.911379,1,0.823357,1,0.738949
STANDARD,600,black,dashed,0.5,#1a1a1a,0.5,0.898039,1,0.898039,1,17.4043,17.4043,0.446895,1,1,1,1,1,1
STANDARD,600,black,dashed,0.75,#1a1a1a,0.75,0.898039,1,0.898039,1,17.4043,17.4043,0.675038,1,1,1,1,1,1
STANDARD,600,guide_grey,solid,0.05,#9e9e9e,0.05,0.380392,1,0.284921,0.74902,2.02787,2.67916,0.0202282,0,0.0756728,0,0.0757957,0,0.0760577
STANDARD,600,guide_grey,solid,0.1,#9e9e9e,0.1,0.380392,1,0.380392,1,2.67916,2.67916,0.0403731,0.00197573,0.0886124,0,0.0759812,0,0.0754296
STANDARD,600,guide_grey,solid,0.18,#9e9e9e,0.18,0.380392,1,0.380392,1,2.67916,2.67916,0.068538,0.95851,0.185958,0.000282247,0.0763196,0,0.0757684
STANDARD,600,guide_grey,solid,0.25,#9e9e9e,0.25,0.380392,1,0.380392,1,2.67916,2.67916,0.0926828,1,0.255444,0.0268134,0.10524,0,0.0751805
STANDARD,600,guide_grey,solid,0.35,#9e9e9e,0.35,0.380392,1,0.380392,1,2.67916,2.67916,0.132826,1,0.328628,0.996613,0.203941,0.00141123,0.0820261
STANDARD,600,guide_grey,solid,0.5,#9e9e9e,0.5,0.380392,1,0.380392,1,2.67916,2.67916,0.193239,1,0.372602,1,0.293486,0.971493,0.186376
STANDARD,600,guide_grey,solid,0.75,#9e9e9e,0.75,0.380392,1,0.380392,1,2.67916,2.67916,0.285817,1,0.391619,1,0.341811,1,0.272834
STANDARD,600,guide_grey,dashed,0.05,#9e9e9e,0.05,0.380392,1,0.380392,1,2.67916,2.67916,0.0201032,0,0.0749707,0,0.0757008,0,0.0760464
STANDARD,600,guide_grey,dashed,0.1,#9e9e9e,0.1,0.380392,1,0.380392,1,2.67916,2.67916,0.0363946,0,0.0809568,0,0.0744497,0,0.0752531
STANDARD,600,guide_grey,dashed,0.18,#9e9e9e,0.18,0.380392,1,0.380392,1,2.67916,2.67916,0.068413,0.96649,0.189149,0,0.0761876,0,0.0752447
STANDARD,600,guide_grey,dashed,0.25,#9e9e9e,0.25,0.380392,1,0.380392,1,2.67916,2.67916,0.0966196,1,0.268607,0.0834803,0.118515,0,0.0751758
STANDARD,600,guide_grey,dashed,0.35,#9e9e9e,0.35,0.380392,1,0.380392,1,2.67916,2.67916,0.132826,1,0.330415,0.995885,0.203508,0,0.0814667
STANDARD,600,guide_grey,dashed,0.5,#9e9e9e,0.5,0.380392,1,0.380392,1,2.67916,2.67916,0.189302,1,0.369965,1,0.286433,0.91358,0.178226
STANDARD,600,guide_grey,dashed,0.75,#9e9e9e,0.75,0.380392,1,0.380392,1,2.67916,2.67916,0.281755,1,0.391269,1,0.339912,1,0.270022
STANDARD,600,trace_grey,solid,0.05,#c4c4c4,0.05,0.231373,1,0.231373,1,1.74415,1.74415,0.0122947,0,0.0756756,0,0.0757769,0,0.0755497
STANDARD,600,trace_grey,solid,0.1,#c4c4c4,0.1,0.231373,1,0.231373,1,1.74415,1.74415,0.0220895,0,0.0755726,0,0.0755197,0,0.0755099
STANDARD,600,trace_grey,solid,0.18,#c4c4c4,0.18,0.231373,1,0.231373,1,1.74415,1.74415,0.0416791,0.00225797,0.0845975,0,0.076013,0,0.075874
STANDARD,600,trace_grey,solid,0.25,#c4c4c4,0.25,0.231373,1,0.231373,1,1.74415,1.74415,0.0588103,0.118826,0.122871,0,0.0754133,0,0.0759231
STANDARD,600,trace_grey,solid,0.35,#c4c4c4,0.35,0.231373,1,0.231373,1,1.74415,1.74415,0.0808998,0.720294,0.161636,0,0.0758909,0,0.0753118
STANDARD,600,trace_grey,solid,0.5,#c4c4c4,0.5,0.231373,1,0.231373,1,1.74415,1.74415,0.115242,0.991815,0.190419,0.00169348,0.0857893,0,0.0760749
STANDARD,600,trace_grey,solid,0.75,#c4c4c4,0.75,0.231373,1,0.231373,1,1.74415,1.74415,0.173848,1,0.207794,0.045724,0.114915,0,0.0757983
STANDARD,600,trace_grey,dashed,0.05,#c4c4c4,0.05,0.231373,0,0.118108,0.510468,1.30769,1.74415,0.00999984,0,0.0752784,0,0.0751517,0,0.0751851
