colour,kind,area_nominal,pitch_mm,pdf_bytes,page_level_images,image_xobjects_total,pattern_objects,largest_image_px,image_ppi,image_bytes_share,has_alpha_mask,vector_only
mid_grey,dither_fs,0.15,4.064,38075,0,6,1,171,71.9,0.9324,True,False
mid_grey,dither_fs,0.3,4.064,43367,0,6,1,171,71.9,0.9381,True,False
mid_grey,dither_fs,0.55,4.064,42600,0,6,1,171,71.9,0.9369,True,False
mid_grey,flat_full,None,None,884,0,0,0,0,0,0,False,True
mid_grey,flat_tint,0.15,None,886,0,0,0,0,0,0,False,True
mid_grey,flat_tint,0.3,None,884,0,0,0,0,0,0,False,True
mid_grey,flat_tint,0.55,None,886,0,0,0,0,0,0,False,True
mid_grey,halftone,0.15,0.35,2887,0,6,1,171,71.9,0.0727,True,False
mid_grey,halftone,0.15,0.5,4290,0,6,1,171,71.9,0.3758,True,False
mid_grey,halftone,0.15,1.0,38402,0,6,1,171,71.9,0.9301,True,False
mid_grey,halftone,0.15,2.0,37197,0,6,1,171,71.9,0.9278,True,False
mid_grey,halftone,0.3,0.35,2887,0,6,1,171,71.9,0.0727,True,False
mid_grey,halftone,0.3,0.5,6096,0,6,1,171,71.9,0.5602,True,False
mid_grey,halftone,0.3,1.0,36717,0,6,1,171,71.9,0.9268,True,False
mid_grey,halftone,0.3,2.0,42448,0,6,1,171,71.9,0.9367,True,False
mid_grey,halftone,0.55,0.35,2886,0,6,1,171,71.9,0.0724,True,False
mid_grey,halftone,0.55,0.5,6002,0,6,1,171,71.9,0.5535,True,False
mid_grey,halftone,0.55,1.0,31758,0,6,1,171,71.9,0.9155,True,False
mid_grey,halftone,0.55,2.0,38613,0,6,1,171,71.9,0.9304,True,False
navy,dither_fs,0.15,4.064,59947,0,6,1,171,71.9,0.957,True,False
navy,dither_fs,0.3,4.064,62608,0,6,1,171,71.9,0.9571,True,False
navy,dither_fs,0.55,4.064,59907,0,6,1,171,71.9,0.955,True,False
navy,flat_full,None,None,892,0,0,0,0,0,0,False,True
navy,flat_tint,0.15,None,893,0,0,0,0,0,0,False,True
navy,flat_tint,0.3,None,891,0,0,0,0,0,0,False,True
navy,flat_tint,0.55,None,893,0,0,0,0,0,0,False,True
navy,halftone,0.15,0.35,2901,0,6,1,171,71.9,0.0755,True,False
navy,halftone,0.15,0.5,4595,0,6,1,171,71.9,0.4159,True,False
navy,halftone,0.15,1.0,55951,0,6,1,171,71.9,0.9519,True,False
navy,halftone,0.15,2.0,57896,0,6,1,171,71.9,0.9535,True,False
navy,halftone,0.3,0.35,2901,0,6,1,171,71.9,0.0755,True,False
navy,halftone,0.3,0.5,7009,0,6,1,171,71.9,0.6165,True,False
navy,halftone,0.3,1.0,57539,0,6,1,171,71.9,0.9532,True,False
navy,halftone,0.3,2.0,64153,0,6,1,171,71.9,0.958,True,False
navy,halftone,0.55,0.35,2900,0,6,1,171,71.9,0.0752,True,False
navy,halftone,0.55,0.5,6815,0,6,1,171,71.9,0.6059,True,False
navy,halftone,0.55,1.0,49096,0,6,1,171,71.9,0.9452,True,False
navy,halftone,0.55,2.0,55350,0,6,1,171,71.9,0.9514,True,False
red,dither_fs,0.15,4.064,59208,0,6,1,171,71.9,0.9565,True,False
red,dither_fs,0.3,4.064,62116,0,6,1,171,71.9,0.9567,True,False
red,dither_fs,0.55,4.064,59598,0,6,1,171,71.9,0.9548,True,False
red,flat_full,None,None,892,0,0,0,0,0,0,False,True
red,flat_tint,0.15,None,889,0,0,0,0,0,0,False,True
red,flat_tint,0.3,None,889,0,0,0,0,0,0,False,True
