archetype,mode,reps,svg_build_s,load_median_s,load_iqr_s,raster_median_s,raster_iqr_s,pdf_median_s,pdf_iqr_s,raster_post_median_s,layout_s,style_s,js_heap_used_mb,dom_nodes,dom_patterns,dom_images,svg_bytes,pdf_bytes
A,STANDARD,7,0.000174213,0.0042771,0.000942099,0.0766736,0.00687945,0.00761988,0.00048367,0,0,0,0.98106,29,0,0,3276,24403
A,OPACITY_GROUP_90,7,0.000153478,0.00399801,0.000947244,0.0793453,0.0113141,0.00776135,0.000229299,0,0,0,1.29378,29,0,0,3290,24828
A,OPACITY_GROUP_75,7,0.0001706,0.00329322,0.000631243,0.0721011,0.00427801,0.00759581,0.000919143,0,0,0,1.4818,29,0,0,3291,24829
A,OPACITY_GROUP_60,7,0.000122553,0.00356799,0.000690514,0.0825849,0.00591023,0.00810971,0.00145336,0,0,0,1.66917,29,0,0,3290,24828
A,OPACITY_GROUP_45,7,0.000103806,0.00412022,0.000228224,0.0778931,0.0129997,0.0078127,0.000943673,0,0,0,1.38699,29,0,0,3291,24829
A,OPACITY_ELEM_60,7,0.00011035,0.00347211,0.000464465,0.0668041,0.00590432,0.00809474,0.000935476,0,0,0,1.58356,29,0,0,3626,34007
A,OPACITY_FILL_60,7,0.000155721,0.00324837,0.000233227,0.0707843,0.00866152,0.00719602,0.00168204,0,0,0,1.76458,29,0,0,3276,24403
A,OPACITY_STROKE_60,7,0.000112838,0.00325585,0.000711015,0.0699362,0.00705706,0.00724747,0.000664609,0,0,0,1.70072,29,0,0,3633,24479
A,OPACITY_TEXT_60,7,0.000165034,0.00369464,0.00055583,0.0730638,0.00631772,0.00722414,0.000335784,0,0,0,1.89254,29,0,0,3388,27825
A,TINT_75,7,9.3733e-05,0.00330486,0.00105634,0.071435,0.00305098,0.00682393,0.000772695,0,0,0,2.08103,29,0,0,3276,24404
A,TINT_55,7,9.5977e-05,0.00343382,0.0014307,0.0728278,0.00516545,0.00746318,0.000918114,0,0,0,2.29276,29,0,0,3276,24404
A,TINT_30,7,9.4199e-05,0.00348098,0.000904351,0.0732162,0.0153879,0.00837056,0.0028729,0,0,0,2.10259,29,0,0,3276,24403
A,TINT_FILL_55,7,0.000108583,0.00354877,0.000278503,0.0727809,0.00828565,0.00759046,0.000457036,0,0,0,2.28416,29,0,0,3276,24403
A,TINT_FILL_30,7,0.000101712,0.00348402,0.000457908,0.0745686,0.00891209,0.00764546,0.00116274,0,0,0,2.4644,29,0,0,3276,24403
A,TINT_FILL_15,7,0.000109765,0.00332444,0.000690101,0.0704647,0.00903753,0.00717816,0.00121378,0,0,0,2.33046,29,0,0,3276,24403
A,GRAYSCALE,7,0.000125829,0.0032515,0.000347986,0.0699901,0.0021702,0.00682293,0.000828307,0,0,0,2.5107,29,0,0,3276,24403
A,BW_THRESHOLD,7,0.000107846,0.00328497,0.000509642,0.0742593,0.0161377,0.00735718,0.00244087,0.227444,0,0,2.69184,29,0,0,3276,24403
A,BW_SEMANTIC,7,0.000108159,0.00349071,0.00150745,0.0762959,0.00787231,0.00787073,0.00194521,0,0,0,2.87887,29,0,0,3276,21515
A,OUTLINE_ONLY,7,0.00015224,0.00408591,0.00262522,0.0846596,0.0114528,0.00799855,0.00141001,0,0,0,2.70524,29,0,0,3276,24403
A,OUTLINE_NAIVE,7,0.000104831,0.00457028,0.00129143,0.0816956,0.00860236,0.00793323,0.000852136,0,0,0,2.88738,29,0,0,3276,24403
A,BG_REMOVAL,7,9.7438e-05,0.00335196,0.0012906,0.0769524,0.00358361,0.00723544,0.00101737,0,0,0,3.06887,29,0,0,3276,24403
A,DECOR_REMOVAL,7,0.000105983,0.0033307,0.00037971,0.0721409,0.0112964,0.00734271,0.00202662,0,0,0,2.29312,29,0,0,3276,24403
A,HALFTONE_H,7,0.000109717,0.00361456,0.000882256,0.0709448,0.00844039,0.00717209,0.00105829,0,0,0,2.48974,29,0,0,3276,24403
A,HALFTONE_M,7,0.000135778,0.00352028,0.000901796,0.0751599,0.00932387,0.00756979,0.0023064,0,0,0,2.67098,29,0,0,3276,24403
A,HALFTONE_L,7,0.000117163,0.00357322,0.00034878,0.080375,0.00831381,0.00721932,0.000779937,0,0,0,2.49136,29,0,0,3276,24403
A,DITHER_M,7,0.000107713,0.00340692,0.00023332,0.0741843,0.00972146,0.00689517,0.000515112,0,0,0,2.67226,29,0,0,3276,24403
A,HIGH_CONTRAST,7,0.000145974,0.00307522,0.000218157,0.0768665,0.00884604,0.00680582,0.000544631,0,0,0,2.85922,29,0,0,3271,24412
A,ECO_COLOUR,7,0.000102849,0.00372607,0.00163843,0.0684855,0.00703739,0.0076561,0.00272637,0,0,0,3.03925,29,0,0,3276,24403
A,SUPER_ECO_BW,7,0.000117471,0.00370138,0.000481404,0.07105,0.00509714,0.00668636,0.00205355,0,0,0,2.85088,29,0,0,3276,21515
A,INT_BG+TINT_FILL_55,7,0.000167715,0.00361644,0.000430597,0.0732452,0.00742183,0.00702122,0.000517132,0,0,0,3.03174,29,0,0,3276,24403
A,INT_REMOVE_ALL,7,0.000115633,0.00335066,0.000516527,0.0702503,0.00811869,0.00678912,0.000609721,0,0,0,3.21463,29,0,0,3276,24403
A,INT_OUTLINE+BW,7,0.000106433,0.00359838,0.000479819,0.0722927,0.00515358,0.00682534,0.00192226,0,0,0,3.02594,29,0,0,3276,21515
A,INT_GRAY+BG,7,9.0586e-05,0.00332612,0.000508076,0.0746927,0.0037404,0.00674188,0.000609695,0,0,0,3.20682,29,0,0,3276,24403
A,INT_OUTLINE+HALFTONE_M,7,0.000109403,0.00346924,0.000722891,0.0775942,0.00256313,0.0073,0.000651496,0,0,0,3.38692,29,0,0,3276,24403
A,COPY_SAFE_ECO,7,0.000110766,0.00403881,0.000575971,0.0771506,0.00447405,0.00787486,0.0013251,0,0,0,3.20624,29,0,0,3271,24412
A,COMBINED_REMOVE+TINT_75,7,0.000100342,0.00339137,0.000672045,0.072237,0.0085639,0.00655317,0.000743129,0,0,0,3.3871,29,0,0,3276,24404
A,COMBINED_ECO+STRUCT_75,7,9.2917e-05,0.00334909,0.00045569,0.0675934,0.012145,0.0066742,0.000815795,0,0,0,3.56821,29,0,0,3276,24404
B,STANDARD,7,0.000634537,0.00913471,0.00372614,0.0960296,0.0209617,0.0130969,0.00372874,0,0,0,2.21168,277,0,0,34041,32288
B,OPACITY_GROUP_90,7,0.000601416,0.00852847,0.00190273,0.0911162,0.0129075,0.0138865,0.00103452,0,0,0,2.16154,277,0,0,34055,32717
B,OPACITY_GROUP_75,7,0.000958887,0.0112036,0.00272765,0.101367,0.00599646,0.0178417,0.00612363,0,0,0,2.24176,277,0,0,34056,32718
B,OPACITY_GROUP_60,7,0.000717281,0.00940859,0.00243313,0.0972492,0.00724776,0.0157477,0.00510767,0,0,0,2.20498,277,0,0,34055,32717
B,OPACITY_GROUP_45,7,0.000790123,0.00808997,0.000756623,0.0998608,0.00777801,0.0127868,0.000788615,0,0,0,2.20774,277,0,0,34056,32718
B,OPACITY_ELEM_60,7,0.00117352,0.00839547,0.00143106,0.0937666,0.00606013,0.0213831,0.00391367,0,0,0,2.26554,277,0,0,37849,147625
B,OPACITY_FILL_60,7,0.000937954,0.00873358,0.00510257,0.0945901,0.00801815,0.0132466,0.00200729,0,0,0,2.15983,277,0,0,34041,32288
B,OPACITY_STROKE_60,7,0.000735898,0.00967446,0.00165035,0.0962381,0.00638778,0.0147292,0.00263826,0,0,0,2.09762,277,0,0,34713,32290
B,OPACITY_TEXT_60,7,0.000712149,0.00861299,0.00038601,0.0956772,0.00861986,0.0228104,0.00273014,0,0,0,2.13739,277,0,0,37401,134268
B,TINT_75,7,0.000606147,0.00926824,0.00226505,0.103571,0.0114038,0.0128808,0.00145197,0,0,0,2.13516,277,0,0,34041,32289
B,TINT_55,7,0.000597303,0.00926443,0.00170844,0.0971742,0.0181305,0.0155124,0.00386285,0,0,0,2.08762,277,0,0,34041,32289
B,TINT_30,7,0.000641185,0.00854229,0.00208581,0.100291,0.00821786,0.012534,0.00354312,0,0,0,2.07751,277,0,0,34041,32289
B,TINT_FILL_55,7,0.000575974,0.00822937,0.00028503,0.0885768,0.00697646,0.0138736,0.0035831,0,0,0,2.07897,277,0,0,34041,32288
B,TINT_FILL_30,7,0.00103463,0.00963355,0.00203811,0.0937541,0.00554118,0.0125976,0.000492064,0,0,0,2.07744,277,0,0,34041,32288
B,TINT_FILL_15,7,0.00118504,0.00877899,0.00133884,0.0950006,0.00878254,0.0124851,0.00182764,0,0,0,2.2736,277,0,0,34041,32288
B,GRAYSCALE,7,0.000735813,0.00790035,0.000657704,0.0935449,0.00266042,0.0134985,0.00220885,0,0,0,2.221,277,0,0,34041,32288
B,BW_THRESHOLD,7,0.000630724,0.00826442,0.0016613,0.097485,0.00702377,0.0141872,0.00159713,0.126987,0,0,2.10169,277,0,0,34041,32288
B,BW_SEMANTIC,7,0.000585125,0.00759299,0.00184413,0.0920548,0.00632948,0.0128366,0.00150528,0,0,0,2.07964,277,0,0,34041,32284
B,OUTLINE_ONLY,7,0.000593672,0.00788038,0.00132066,0.0899233,0.00463439,0.0128911,0.00214515,0,0,0,2.14397,277,0,0,34041,32288
