archetype,mode,chromium_ttc,chromium_wd,resvg_ttc,resvg_wd,resvg_mean_abs_px,resvg_px_diff_gt10pct,pdf_bytes,pdf_images,pdf_pattern_objects,pdf_smask,mupdf_ttc,pdfium_ttc,mupdf_mean_abs_px
D,STANDARD,0.022246,0.0168717,0.0220332,0.016657,0.00141653,0.00419594,34064,0,0,0,0.0223179,0.0222149,0.00212021
D,OPACITY_GROUP_60,0.0131869,0.010152,0.0130012,0.00997378,0.000891477,0.00312236,34492,0,0,0,0.0135388,0.013099,0.00148896
D,OPACITY_ELEM_60,0.0133464,0.0101556,0.013183,0.0100185,0.000866863,0.0031242,46335,0,0,0,0.0137137,0.0132626,0.00149669
D,OPACITY_TEXT_60,0.0196871,0.0141373,0.0195494,0.0139784,0.000890503,0.00315822,37780,0,0,0,0.0198325,0.0196856,0.00163724
D,TINT_55,0.0120456,0.00932433,0.0118566,0.00913382,0.000789295,0.00280879,34070,0,0,0,0.012086,0.0119702,0.00119222
D,GRAYSCALE,0.0168171,0.0168171,0.0166008,0.0166009,0.00141873,0.00416513,34046,0,0,0,0.0167032,0.0167664,0.00207067
D,HALFTONE_M,0.0164054,0.0148152,0.0162215,0.0146022,0.00249771,0.00739048,2872617,0,4,4,0.0164057,0.0164443,0.00270985
D,HALFTONE_L,0.0153242,0.0144109,0.015042,0.0141574,0.00209123,0.00664058,2814167,0,4,4,0.0152412,0.0153175,0.0024526
D,DITHER_M,0.0167651,0.014922,0.0167082,0.014756,0.00261713,0.0115703,3870316,0,4,4,0.0169558,0.0169663,0.00330053
D,BW_SEMANTIC,0.0176589,0.0176589,0.0174582,0.0174582,0.00159044,0.0043702,34017,0,0,0,0.0175591,0.0176062,0.00254048
D,OUTLINE_ONLY,0.0158724,0.0153904,0.0156396,0.0151615,0.00143686,0.00420513,34060,0,0,0,0.0157428,0.0157951,0.00227031
D,HIGH_CONTRAST,0.0238237,0.0185922,0.0236031,0.0183978,0.00157005,0.00435318,34035,0,0,0,0.0238961,0.0237736,0.00236137
D,ECO_COLOUR,0.0154116,0.0143842,0.0151959,0.0141672,0.00142362,0.00420008,33368,0,0,0,0.0153078,0.0153562,0.00207893
D,SUPER_ECO_BW,0.0157445,0.0157445,0.0155483,0.0155483,0.0015811,0.00436468,33219,0,0,0,0.0156326,0.0156709,0.00232209
E,STANDARD,0.086783,0.047436,0.0866452,0.0473692,0.000657982,0.00159635,284777,4,0,0,0.0880583,0.0877898,0.00144339
E,OPACITY_GROUP_60,0.0482938,0.0285742,0.0480456,0.0284111,0.000514079,0.000731967,285211,4,0,0,0.0496923,0.048977,0.0013659
E,OPACITY_ELEM_60,0.0491702,0.0289522,0.0489272,0.0288071,0.000503731,0.000732427,298941,4,0,0,0.0505725,0.0499043,0.00139264
E,OPACITY_TEXT_60,0.085734,0.0463869,0.0856009,0.0463248,0.000531031,0.00130347,288208,4,0,0,0.0870239,0.0867486,0.00133233
E,TINT_55,0.0438395,0.0260494,0.0437565,0.025984,0.000374714,0.000658863,165691,4,0,0,0.0446111,0.0442932,0.000843306
E,GRAYSCALE,0.0474896,0.0474896,0.0474266,0.0474266,0.000655627,0.00155865,76154,4,0,0,0.0478836,0.0479415,0.00130956
E,HALFTONE_M,0.0720393,0.0418945,0.0720494,0.0418858,0.00403263,0.0104521,10299659,4,14,14,0.0737366,0.0738593,0.00310524
E,HALFTONE_L,0.0691535,0.040763,0.0689081,0.0406589,0.0027305,0.00706588,10424903,4,14,14,0.0705298,0.0705883,0.00247821
E,DITHER_M,0.0727832,0.0421642,0.0729473,0.0421566,0.00391878,0.00779049,13742775,4,14,14,0.0744948,0.0746191,0.0046811
E,BW_SEMANTIC,0.0517005,0.0517005,0.0517664,0.0517664,0.000757124,0.00310075,43146,4,0,0,0.0522367,0.0523047,0.0308076
E,OUTLINE_ONLY,0.0677604,0.0409837,0.0676362,0.0409302,0.000762714,0.00163681,284450,4,0,0,0.0685956,0.0687273,0.00147153
E,HIGH_CONTRAST,0.0883006,0.048636,0.0880981,0.0485886,0.000718883,0.00222027,284761,4,0,0,0.0896093,0.0893229,0.00155291
E,ECO_COLOUR,0.0632146,0.0377471,0.063117,0.0376919,0.000647111,0.00160601,231609,4,0,0,0.064223,0.0639349,0.00135576
E,SUPER_ECO_BW,0.0432564,0.0432564,0.043342,0.043342,0.000796575,0.00245752,42872,4,0,0,0.0438055,0.0438659,0.0308901
F,STANDARD,0.766448,0.258441,0.767115,0.258713,0.000498315,0.00263223,27541,0,0,0,0.773967,0.767606,0.00294995
F,OPACITY_GROUP_60,0.430833,0.15561,0.426844,0.154809,0.0017807,0.00143405,27939,0,0,0,0.440198,0.434096,0.00565687
F,OPACITY_ELEM_60,0.440535,0.160442,0.440592,0.160204,0.000446506,0.000731967,42088,0,0,0,0.453629,0.44752,0.00695177
F,OPACITY_TEXT_60,0.769591,0.25985,0.770147,0.260065,0.000354185,0.00197705,31760,0,0,0,0.777004,0.770645,0.00280875
F,TINT_55,0.39569,0.147728,0.395464,0.147765,0.000411593,0.0017113,27549,0,0,0,0.402164,0.39575,0.00285367
F,GRAYSCALE,0.259347,0.258946,0.259195,0.259195,0.000523003,0.00188877,30013,0,0,0,0.261942,0.259341,0.00337605
F,HALFTONE_M,0.211266,0.0788313,0.217907,0.0805881,0.101172,0.495354,7578387,0,11,11,0.226658,0.224372,0.0595419
F,HALFTONE_L,0.109489,0.0426142,0.10678,0.0413816,0.0639654,0.297761,7463967,0,11,11,0.115504,0.113897,0.0365726
F,DITHER_M,0.243026,0.0877018,0.262019,0.0915329,0.112289,0.444011,10148487,0,11,11,0.265704,0.261127,0.116532
F,BW_SEMANTIC,0.281684,0.281684,0.281948,0.281948,0.000888662,0.00278258,32128,0,0,0,0.281994,0.282111,0.00133535
F,OUTLINE_ONLY,0.0226251,0.0120644,0.0224208,0.0119392,0.000714919,0.0025012,27635,0,0,0,0.0224361,0.022525,0.00113295
F,HIGH_CONTRAST,0.599854,0.228448,0.600573,0.228702,0.000473183,0.00234901,30032,0,0,0,0.602577,0.600981,0.00139723
F,ECO_COLOUR,0.303588,0.130474,0.303836,0.13053,0.000376329,0.00127818,27529,0,0,0,0.305754,0.304073,0.00128247
F,SUPER_ECO_BW,0.0171287,0.0171287,0.0169977,0.0169977,0.000972167,0.00298948,27363,0,0,0,0.017023,0.0170708,0.00166227
I,STANDARD,0.2829,0.118035,0.282842,0.118039,0.00108747,0.00271637,92325,0,0,0,0.2841,0.282831,0.00184305
I,OPACITY_GROUP_60,0.15667,0.0710208,0.155884,0.0706831,0.000946187,0.00127956,92750,0,0,0,0.158634,0.156783,0.00179116
I,OPACITY_ELEM_60,0.156666,0.0710174,0.155883,0.0706832,0.000945161,0.00127956,137033,0,0,0,0.158634,0.156783,0.00179105
I,OPACITY_TEXT_60,0.281767,0.116902,0.281723,0.11692,0.000892319,0.00234349,95344,0,0,0,0.283003,0.281708,0.00165617
I,TINT_55,0.14169,0.0647661,0.141674,0.064755,0.000600712,0.00112646,92334,0,0,0,0.142524,0.141643,0.00105462
I,GRAYSCALE,0.118153,0.118153,0.118155,0.118155,0.00105932,0.00241154,92222,0,0,0,0.118193,0.118166,0.00149756
