archetype,mode,dpi,total_tonal_coverage,weighted_darkness,non_white_coverage
D,STANDARD,100,0.0222832,0.0168768,0.0622624
D,STANDARD,150,0.022246,0.0168717,0.0597735
D,STANDARD,300,0.0220695,0.0167151,0.0565691
D,OPACITY_GROUP_60,100,0.0132025,0.0101606,0.0621279
D,OPACITY_GROUP_60,150,0.0131869,0.010152,0.0589519
D,OPACITY_GROUP_60,300,0.0130898,0.0100553,0.0562741
D,TINT_55,100,0.0120927,0.00936578,0.0621269
D,TINT_55,150,0.0120456,0.00932433,0.0589482
D,TINT_55,300,0.0119268,0.00920414,0.05618
D,HALFTONE_M,100,0.0165521,0.0148531,0.0421168
D,HALFTONE_M,150,0.0164054,0.0148152,0.0388812
D,HALFTONE_M,300,0.0165132,0.0147365,0.0337609
D,DITHER_M,100,0.0166215,0.014885,0.0378614
D,DITHER_M,150,0.0167651,0.014922,0.0353059
D,DITHER_M,300,0.016414,0.0147085,0.0416838
E,STANDARD,100,0.0868659,0.0474635,0.131905
E,STANDARD,150,0.086783,0.047436,0.130832
E,STANDARD,300,0.0865933,0.047347,0.128059
E,OPACITY_GROUP_60,100,0.0483042,0.0285818,0.131793
E,OPACITY_GROUP_60,150,0.0482938,0.0285742,0.13064
E,OPACITY_GROUP_60,300,0.0482091,0.0285169,0.127783
E,TINT_55,100,0.0438612,0.0260723,0.131791
E,TINT_55,150,0.0438395,0.0260494,0.130633
E,TINT_55,300,0.0437532,0.0259903,0.127713
E,HALFTONE_M,100,0.0725163,0.0421311,0.109077
E,HALFTONE_M,150,0.0720393,0.0418945,0.105317
E,HALFTONE_M,300,0.0725375,0.0420027,0.0993968
E,DITHER_M,100,0.0724827,0.042079,0.10323
E,DITHER_M,150,0.0727832,0.0421642,0.102152
E,DITHER_M,300,0.0723743,0.0420082,0.105406
F,STANDARD,100,0.766302,0.258317,0.99575
F,STANDARD,150,0.766448,0.258441,0.995333
F,STANDARD,300,0.76725,0.258608,0.994872
F,OPACITY_GROUP_60,100,0.43078,0.155538,0.995573
F,OPACITY_GROUP_60,150,0.430833,0.15561,0.995301
F,OPACITY_GROUP_60,300,0.430899,0.155686,0.994859
F,TINT_55,100,0.395885,0.147651,1
F,TINT_55,150,0.39569,0.147728,1
F,TINT_55,300,0.395385,0.147729,1
F,HALFTONE_M,100,0.227752,0.084761,0.755895
F,HALFTONE_M,150,0.211266,0.0788313,0.577024
F,HALFTONE_M,300,0.239692,0.0862622,0.453943
F,DITHER_M,100,0.23085,0.0840433,0.61524
F,DITHER_M,150,0.243026,0.0877018,0.544496
F,DITHER_M,300,0.223717,0.084208,0.713858
I,STANDARD,100,0.282692,0.117684,0.209441
I,STANDARD,150,0.2829,0.118035,0.207443
I,STANDARD,300,0.281066,0.117699,0.204293
I,OPACITY_GROUP_60,100,0.156233,0.0708035,0.209085
I,OPACITY_GROUP_60,150,0.15667,0.0710208,0.206988
I,OPACITY_GROUP_60,300,0.15602,0.0708274,0.204143
I,TINT_55,100,0.1413,0.0645897,0.208948
I,TINT_55,150,0.14169,0.0647661,0.206876
I,TINT_55,300,0.141103,0.064569,0.204082
I,HALFTONE_M,100,0.0908954,0.0463881,0.187856
I,HALFTONE_M,150,0.0851023,0.0439517,0.141349
I,HALFTONE_M,300,0.0954182,0.0471173,0.109319
I,DITHER_M,100,0.0916022,0.0462106,0.155476
I,DITHER_M,150,0.0974211,0.0477701,0.14327
I,DITHER_M,300,0.0892619,0.045749,0.165442
K,STANDARD,100,0.415894,0.105214,0.99909
K,STANDARD,150,0.415254,0.105325,0.99898
K,STANDARD,300,0.412336,0.105166,0.998839
K,OPACITY_GROUP_60,100,0.248718,0.0634223,0.99906
K,OPACITY_GROUP_60,150,0.248562,0.0634906,0.99897
K,OPACITY_GROUP_60,300,0.247569,0.0633983,0.998835
K,TINT_55,100,0.227282,0.0599209,1
K,TINT_55,150,0.226871,0.0599226,1
K,TINT_55,300,0.225651,0.0597652,1
K,HALFTONE_M,100,0.212371,0.0623161,0.714281
K,HALFTONE_M,150,0.205804,0.061157,0.584639
K,HALFTONE_M,300,0.214506,0.0629909,0.48931
K,DITHER_M,100,0.21185,0.0624623,0.611274
K,DITHER_M,150,0.216572,0.0634697,0.535765
K,DITHER_M,300,0.211814,0.0624796,0.676278
L,STANDARD,100,0.112513,0.0452103,0.367045
L,STANDARD,150,0.112394,0.0453291,0.364492
L,STANDARD,300,0.111964,0.0452356,0.36245
L,OPACITY_GROUP_60,100,0.0659658,0.0272106,0.365284
L,OPACITY_GROUP_60,150,0.0660312,0.0272854,0.363725
L,OPACITY_GROUP_60,300,0.0658977,0.0272269,0.361634
L,TINT_55,100,0.0596292,0.0248338,0.365248
L,TINT_55,150,0.059666,0.0248837,0.363703
L,TINT_55,300,0.059544,0.0248222,0.361292
L,HALFTONE_M,100,0.0407418,0.0201942,0.199288
L,HALFTONE_M,150,0.038672,0.0195837,0.181606
L,HALFTONE_M,300,0.0417203,0.0205121,0.156991
L,DITHER_M,100,0.0410286,0.0202527,0.15992
L,DITHER_M,150,0.0425279,0.0208284,0.158925
L,DITHER_M,300,0.0404456,0.020281,0.192197
