config,mode,promising,conditional,dominated,failed,needs_physical_validation
baseline,STANDARD,0,0,0,0,0
baseline,ECO_COLOUR,18,8,82,0,0
baseline,SUPER_ECO_BW,4,10,64,30,0
baseline,INT_BG+TINT_FILL_55,13,6,89,0,0
baseline,INT_REMOVE_ALL,11,5,92,0,0
baseline,INT_OUTLINE+BW,0,4,73,31,0
baseline,INT_GRAY+BG,6,0,94,8,0
baseline,INT_OUTLINE+HALFTONE_M,6,3,84,15,0
baseline,COPY_SAFE_ECO,3,15,90,0,0
baseline,COMBINED_REMOVE+TINT_75,13,15,80,0,0
baseline,COMBINED_ECO+STRUCT_75,33,20,55,0,0
baseline,OPACITY_GROUP_90,0,44,59,5,0
baseline,OPACITY_GROUP_75,24,66,6,12,0
baseline,OPACITY_GROUP_60,17,43,2,46,0
baseline,OPACITY_GROUP_45,0,0,0,108,0
baseline,OPACITY_ELEM_60,17,37,8,46,0
baseline,OPACITY_FILL_60,3,0,96,9,0
baseline,OPACITY_STROKE_60,0,17,82,9,0
baseline,OPACITY_TEXT_60,3,4,57,44,0
baseline,TINT_75,35,62,8,3,0
baseline,TINT_55,10,15,0,83,0
baseline,TINT_30,0,0,0,108,0
baseline,TINT_FILL_55,7,6,93,2,0
baseline,TINT_FILL_30,6,13,80,9,0
baseline,TINT_FILL_15,0,15,75,18,0
baseline,GRAYSCALE,0,5,58,8,37
baseline,BW_THRESHOLD,0,0,46,62,0
baseline,BW_SEMANTIC,0,4,85,17,2
baseline,OUTLINE_ONLY,0,4,89,15,0
baseline,OUTLINE_NAIVE,0,4,83,21,0
baseline,BG_REMOVAL,0,0,108,0,0
baseline,DECOR_REMOVAL,6,5,97,0,0
baseline,HALFTONE_H,0,0,108,0,0
baseline,HALFTONE_M,0,0,80,19,9
baseline,HALFTONE_L,0,0,88,20,0
baseline,DITHER_M,0,0,89,18,1
baseline,HIGH_CONTRAST,0,15,93,0,0
fail_q=0.70,STANDARD,0,0,0,0,0
fail_q=0.70,ECO_COLOUR,18,8,82,0,0
fail_q=0.70,SUPER_ECO_BW,4,13,68,23,0
fail_q=0.70,INT_BG+TINT_FILL_55,13,6,89,0,0
fail_q=0.70,INT_REMOVE_ALL,11,5,92,0,0
fail_q=0.70,INT_OUTLINE+BW,0,4,81,23,0
fail_q=0.70,INT_GRAY+BG,6,0,102,0,0
fail_q=0.70,INT_OUTLINE+HALFTONE_M,6,3,90,9,0
fail_q=0.70,COPY_SAFE_ECO,3,15,90,0,0
fail_q=0.70,COMBINED_REMOVE+TINT_75,13,15,80,0,0
fail_q=0.70,COMBINED_ECO+STRUCT_75,33,20,55,0,0
fail_q=0.70,OPACITY_GROUP_90,0,46,62,0,0
fail_q=0.70,OPACITY_GROUP_75,24,66,9,9,0
fail_q=0.70,OPACITY_GROUP_60,17,44,2,45,0
fail_q=0.70,OPACITY_GROUP_45,0,0,0,108,0
fail_q=0.70,OPACITY_ELEM_60,17,38,8,45,0
fail_q=0.70,OPACITY_FILL_60,3,0,97,8,0
fail_q=0.70,OPACITY_STROKE_60,0,17,82,9,0
fail_q=0.70,OPACITY_TEXT_60,3,4,58,43,0
fail_q=0.70,TINT_75,35,62,8,3,0
fail_q=0.70,TINT_55,10,15,0,83,0
fail_q=0.70,TINT_30,0,2,0,106,0
fail_q=0.70,TINT_FILL_55,7,6,93,2,0
fail_q=0.70,TINT_FILL_30,6,13,82,7,0
fail_q=0.70,TINT_FILL_15,0,24,75,9,0
fail_q=0.70,GRAYSCALE,0,5,58,0,45
fail_q=0.70,BW_THRESHOLD,0,0,68,40,0
fail_q=0.70,BW_SEMANTIC,0,4,92,10,2
fail_q=0.70,OUTLINE_ONLY,0,4,95,9,0
fail_q=0.70,OUTLINE_NAIVE,0,4,91,13,0
fail_q=0.70,BG_REMOVAL,0,0,108,0,0
fail_q=0.70,DECOR_REMOVAL,6,5,97,0,0
fail_q=0.70,HALFTONE_H,0,0,108,0,0
fail_q=0.70,HALFTONE_M,0,0,87,10,11
fail_q=0.70,HALFTONE_L,0,0,94,14,0
fail_q=0.70,DITHER_M,0,0,97,6,5
fail_q=0.70,HIGH_CONTRAST,0,15,93,0,0
fail_q=0.90,STANDARD,0,0,0,0,0
fail_q=0.90,ECO_COLOUR,18,5,82,3,0
fail_q=0.90,SUPER_ECO_BW,4,4,59,41,0
fail_q=0.90,INT_BG+TINT_FILL_55,13,6,89,0,0
fail_q=0.90,INT_REMOVE_ALL,11,5,89,3,0
fail_q=0.90,INT_OUTLINE+BW,0,4,60,44,0
fail_q=0.90,INT_GRAY+BG,6,0,91,11,0
fail_q=0.90,INT_OUTLINE+HALFTONE_M,6,3,69,30,0
fail_q=0.90,COPY_SAFE_ECO,3,14,87,4,0
fail_q=0.90,COMBINED_REMOVE+TINT_75,13,15,75,5,0
fail_q=0.90,COMBINED_ECO+STRUCT_75,33,17,53,5,0
fail_q=0.90,OPACITY_GROUP_90,0,43,58,7,0
fail_q=0.90,OPACITY_GROUP_75,24,60,3,21,0
fail_q=0.90,OPACITY_GROUP_60,17,39,2,50,0
fail_q=0.90,OPACITY_GROUP_45,0,0,0,108,0
fail_q=0.90,OPACITY_ELEM_60,17,33,8,50,0
fail_q=0.90,OPACITY_FILL_60,3,0,89,16,0
fail_q=0.90,OPACITY_STROKE_60,0,15,82,11,0
fail_q=0.90,OPACITY_TEXT_60,3,4,53,48,0
fail_q=0.90,TINT_75,35,57,8,8,0
fail_q=0.90,TINT_55,10,14,0,84,0
fail_q=0.90,TINT_30,0,0,0,108,0
fail_q=0.90,TINT_FILL_55,7,6,92,3,0
fail_q=0.90,TINT_FILL_30,6,5,78,19,0
fail_q=0.90,TINT_FILL_15,0,9,72,27,0
fail_q=0.90,GRAYSCALE,0,5,58,11,34
fail_q=0.90,BW_THRESHOLD,0,0,28,80,0
fail_q=0.90,BW_SEMANTIC,0,4,72,30,2
fail_q=0.90,OUTLINE_ONLY,0,2,76,30,0
fail_q=0.90,OUTLINE_NAIVE,0,2,67,39,0
fail_q=0.90,BG_REMOVAL,0,0,108,0,0
fail_q=0.90,DECOR_REMOVAL,6,5,94,3,0
fail_q=0.90,HALFTONE_H,0,0,99,9,0
fail_q=0.90,HALFTONE_M,0,0,73,26,9
fail_q=0.90,HALFTONE_L,0,0,74,34,0
fail_q=0.90,DITHER_M,0,0,82,26,0
fail_q=0.90,HIGH_CONTRAST,0,15,92,1,0
vis_threshold=0.08,STANDARD,0,0,0,0,0
vis_threshold=0.08,ECO_COLOUR,18,8,82,0,0
vis_threshold=0.08,SUPER_ECO_BW,4,10,64,30,0
vis_threshold=0.08,INT_BG+TINT_FILL_55,13,6,89,0,0
vis_threshold=0.08,INT_REMOVE_ALL,11,5,92,0,0
vis_threshold=0.08,INT_OUTLINE+BW,0,4,73,31,0
vis_threshold=0.08,INT_GRAY+BG,6,0,94,8,0
vis_threshold=0.08,INT_OUTLINE+HALFTONE_M,6,3,84,15,0
vis_threshold=0.08,COPY_SAFE_ECO,3,15,90,0,0
vis_threshold=0.08,COMBINED_REMOVE+TINT_75,13,15,80,0,0
vis_threshold=0.08,COMBINED_ECO+STRUCT_75,33,20,55,0,0
vis_threshold=0.08,OPACITY_GROUP_90,0,33,70,5,0
vis_threshold=0.08,OPACITY_GROUP_75,24,65,7,12,0
vis_threshold=0.08,OPACITY_GROUP_60,17,59,3,29,0
vis_threshold=0.08,OPACITY_GROUP_45,0,0,0,108,0
vis_threshold=0.08,OPACITY_ELEM_60,17,53,9,29,0
vis_threshold=0.08,OPACITY_FILL_60,3,0,96,9,0
vis_threshold=0.08,OPACITY_STROKE_60,0,3,96,9,0
vis_threshold=0.08,OPACITY_TEXT_60,3,10,68,27,0
vis_threshold=0.08,TINT_75,35,61,9,3,0
vis_threshold=0.08,TINT_55,10,24,0,74,0
vis_threshold=0.08,TINT_30,0,0,0,108,0
vis_threshold=0.08,TINT_FILL_55,7,6,93,2,0
vis_threshold=0.08,TINT_FILL_30,6,13,80,9,0
vis_threshold=0.08,TINT_FILL_15,0,15,75,18,0
vis_threshold=0.08,GRAYSCALE,0,5,58,8,37
vis_threshold=0.08,BW_THRESHOLD,0,0,46,62,0
vis_threshold=0.08,BW_SEMANTIC,0,4,85,17,2
vis_threshold=0.08,OUTLINE_ONLY,0,4,89,15,0
vis_threshold=0.08,OUTLINE_NAIVE,0,4,83,21,0
vis_threshold=0.08,BG_REMOVAL,0,0,108,0,0
vis_threshold=0.08,DECOR_REMOVAL,6,5,97,0,0
vis_threshold=0.08,HALFTONE_H,0,0,108,0,0
vis_threshold=0.08,HALFTONE_M,0,0,80,19,9
vis_threshold=0.08,HALFTONE_L,0,0,88,20,0
vis_threshold=0.08,DITHER_M,0,0,89,18,1
vis_threshold=0.08,HIGH_CONTRAST,0,15,93,0,0
vis_threshold=0.25,STANDARD,0,0,0,0,0
vis_threshold=0.25,ECO_COLOUR,18,8,82,0,0
vis_threshold=0.25,SUPER_ECO_BW,4,10,64,30,0
vis_threshold=0.25,INT_BG+TINT_FILL_55,13,6,89,0,0
vis_threshold=0.25,INT_REMOVE_ALL,11,5,92,0,0
vis_threshold=0.25,INT_OUTLINE+BW,0,4,73,31,0
vis_threshold=0.25,INT_GRAY+BG,6,0,94,8,0
vis_threshold=0.25,INT_OUTLINE+HALFTONE_M,6,3,84,15,0
vis_threshold=0.25,COPY_SAFE_ECO,3,15,90,0,0
vis_threshold=0.25,COMBINED_REMOVE+TINT_75,13,13,70,12,0
vis_threshold=0.25,COMBINED_ECO+STRUCT_75,33,12,51,12,0
vis_threshold=0.25,OPACITY_GROUP_90,0,48,54,6,0
vis_threshold=0.25,OPACITY_GROUP_75,24,56,6,22,0
vis_threshold=0.25,OPACITY_GROUP_60,17,45,2,44,0
vis_threshold=0.25,OPACITY_GROUP_45,0,0,0,108,0
vis_threshold=0.25,OPACITY_ELEM_60,17,39,8,44,0
vis_threshold=0.25,OPACITY_FILL_60,3,0,96,9,0
vis_threshold=0.25,OPACITY_STROKE_60,0,0,84,24,0
vis_threshold=0.25,OPACITY_TEXT_60,3,21,57,27,0
vis_threshold=0.25,TINT_75,35,46,13,14,0
vis_threshold=0.25,TINT_55,9,16,0,83,0
vis_threshold=0.25,TINT_30,0,0,0,108,0
vis_threshold=0.25,TINT_FILL_55,7,6,93,2,0
vis_threshold=0.25,TINT_FILL_30,6,13,80,9,0
vis_threshold=0.25,TINT_FILL_15,0,15,75,18,0
vis_threshold=0.25,GRAYSCALE,0,5,58,8,37
vis_threshold=0.25,BW_THRESHOLD,0,0,46,62,0
vis_threshold=0.25,BW_SEMANTIC,0,4,84,18,2
vis_threshold=0.25,OUTLINE_ONLY,0,4,89,15,0
vis_threshold=0.25,OUTLINE_NAIVE,0,4,83,21,0
vis_threshold=0.25,BG_REMOVAL,0,0,108,0,0
vis_threshold=0.25,DECOR_REMOVAL,6,5,97,0,0
vis_threshold=0.25,HALFTONE_H,0,0,108,0,0
vis_threshold=0.25,HALFTONE_M,0,0,80,19,9
vis_threshold=0.25,HALFTONE_L,0,0,88,20,0
vis_threshold=0.25,DITHER_M,0,0,89,18,1
vis_threshold=0.25,HIGH_CONTRAST,0,15,93,0,0
meaningful_rel=0.10,STANDARD,0,0,0,0,0
meaningful_rel=0.10,ECO_COLOUR,18,8,82,0,0
meaningful_rel=0.10,SUPER_ECO_BW,4,10,64,30,0
meaningful_rel=0.10,INT_BG+TINT_FILL_55,13,6,89,0,0
meaningful_rel=0.10,INT_REMOVE_ALL,11,5,92,0,0
meaningful_rel=0.10,INT_OUTLINE+BW,0,4,73,31,0
meaningful_rel=0.10,INT_GRAY+BG,6,0,94,8,0
meaningful_rel=0.10,INT_OUTLINE+HALFTONE_M,6,3,84,15,0
meaningful_rel=0.10,COPY_SAFE_ECO,3,15,90,0,0
