mode,family,complexity,n_docs,rel_ttc_mean,rel_ttc_mean_ci95_lo,rel_ttc_mean_ci95_hi,rel_ttc_median,rel_ttc_median_ci95_lo,rel_ttc_median_ci95_hi,rel_ttc_min,rel_ttc_max,rel_ttc_var,abs_ttc_mean_pp,abs_ttc_median_pp,rel_wd_mean,rel_black_mean,rel_colour_mean,rel_nonwhite_mean,q_gen0_mean,q_gen0_min,photocopy_retention_mean,pdf_ratio_median,pdf_ratio_max,n_promising,n_conditional,n_dominated,n_failed,n_needs_physical_validation
STANDARD,standard,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
ECO_COLOUR,eco,2,108,0.2982,0.12794,0.48546,0.24488,0,0.48078,0,0.98762,0.10905,11.014,0.52421,0.25205,0.16048,0.69345,0.27713,0.99113,0.87997,0.99997,0.99991,1.0003,18,8,82,0,0
SUPER_ECO_BW,eco,2,108,0.2262,-0.097605,0.54338,0.18804,-0.11253,0.73635,-1.1482,0.98625,0.31681,13.562,0.36832,0.099413,-0.1387,1,0.4185,0.83558,0.034394,0.99828,0.99172,1.0012,4,10,64,30,0
INT_BG+TINT_FILL_55,interaction,2,108,0.23704,0.099047,0.38717,0.12476,0,0.46055,0,0.74629,0.064677,9.0156,0.24576,0.1914,0.11899,0.54131,0.10524,0.99095,0.93805,0.99997,1,1.0013,13,6,89,0,0
INT_REMOVE_ALL,interaction,2,108,0.18866,0.043969,0.38097,0,0,0.24054,0,0.98762,0.095911,7.2135,0,0.16269,0.082563,0.44182,0.27769,0.99615,0.84808,0.99997,1,1,11,5,92,0,0
INT_OUTLINE+BW,interaction,2,108,0.20429,-0.088718,0.50188,0.13161,-0.11253,0.65534,-1.1482,0.98561,0.30319,13.315,0.21395,0.054316,-0.27989,1,0.40688,0.82736,0.034394,0.99007,0.99561,1.0039,0,4,73,31,0
INT_GRAY+BG,interaction,2,108,0.28756,0.12101,0.46318,0.1024,0,0.59633,0,0.89252,0.10197,10.961,0.14628,0.050431,-0.65068,1,0.10608,0.97293,0.7,0.99997,1,1.1011,6,0,94,8,0
INT_OUTLINE+HALFTONE_M,interaction,3,108,0.3446,0.1336,0.57619,0.21974,0,0.73825,0,0.98255,0.14859,13.629,0.44945,0.29014,0.16359,0.82624,0.38092,0.87991,0.020435,0.99996,1,1065.3,6,3,84,15,0
COPY_SAFE_ECO,eco,2,108,0.05077,-0.15315,0.2663,-0.027514,-0.11276,0.18011,-0.909,0.98574,0.16452,6.7818,-0.17546,0.01201,-0.098239,0.44501,0.25544,0.98742,0.8321,0.99998,0.99977,1.1024,3,15,90,0,0
COMBINED_REMOVE+TINT_75,combined,2,108,0.39824,0.28796,0.53759,0.2867,0.24695,0.4458,0.22808,0.99064,0.053675,9.9627,1.2242,0.36853,0.30838,0.60877,0.28007,0.98496,0.84861,0.7578,1,1.2761,13,15,80,0,0
COMBINED_ECO+STRUCT_75,combined,2,108,0.43599,0.31084,0.58015,0.3165,0.24683,0.49611,0.22808,0.99064,0.057553,11.455,1.2242,0.40065,0.33302,0.69684,0.27951,0.98336,0.86682,0.7578,0.9999,1.0003,33,20,55,0,0
OPACITY_GROUP_90,opacity,1,108,0.1059,0.10176,0.1108,0.10038,0.1,0.11333,0.1,0.12352,6.5751e-05,1.8998,0.41647,0.1,0.1,0.11626,9.7658e-05,0.98367,0.73333,0.83338,1.0121,1.0397,0,44,59,5,0
OPACITY_GROUP_75,opacity,1,108,0.26138,0.2534,0.27023,0.2507,0.25,0.27636,0.25,0.29587,0.00024577,4.6358,1.0412,0.25,0.25,0.2813,0.0010569,0.91931,0.24999,0.7582,1.0122,1.0398,24,66,6,12,0
OPACITY_GROUP_60,opacity,1,108,0.41362,0.40417,0.42441,0.40082,0.4,0.42413,0.4,0.45526,0.00035232,7.2592,1.6659,0.4,0.4,0.43738,0.0064054,0.6065,0,0.60919,1.0121,1.0397,17,43,2,46,0
OPACITY_GROUP_45,opacity,1,108,0.56322,0.55393,0.57337,0.55079,0.55,0.58107,0.55,0.60388,0.00033184,9.7891,2.2906,0.55,0.55,0.58622,0.010343,0,0,0.31258,1.0122,1.0398,0,0,0,108,0
OPACITY_ELEM_60,opacity,1,108,0.4046,0.39557,0.41512,0.39887,0.39696,0.4014,0.36195,0.45446,0.00040416,6.8583,1.6532,0.39107,0.38398,0.42193,0.0054279,0.60097,0,0.61383,1.4938,12.422,17,37,8,46,0
OPACITY_FILL_60,opacity,2,108,0.17425,0.078241,0.27532,0.10714,0,0.37327,0,0.45684,0.032423,5.8661,0.20714,0.14139,0.097072,0.4076,0.00094099,0.91599,0,0.99679,1.0013,1.0102,3,0,96,9,0
