mode,dpi,weight,size_pt,colour_after,nominal_wcag_cr,g0_recognition,g0_stroke_retention,g0_core_tone_median,pc1_recognition,pc1_stroke_retention,pc1_core_tone_median,pc2_recognition,pc2_stroke_retention,pc2_core_tone_median,pc3_recognition,pc3_stroke_retention,pc3_core_tone_median
STANDARD,150,light,6,#1a1a1a,17.4043,1,1,0.623345,1,0.982412,0.391582,1,0.298995,0.212734,0.583333,0.0201005,0.0677234
STANDARD,150,light,7,#1a1a1a,17.4043,1,1,0.658562,1,0.998261,0.427588,1,0.547826,0.256657,0.916667,0.0695652,0.110629
STANDARD,150,light,8,#1a1a1a,17.4043,1,1,0.686198,1,1,0.4611,1,0.744505,0.298747,0.972222,0.200549,0.148397
STANDARD,150,light,9,#1a1a1a,17.4043,1,1,0.725475,1,0.997775,0.510989,1,0.904338,0.354907,1,0.341491,0.214134
STANDARD,150,light,10,#1a1a1a,17.4043,1,1,0.732518,1,0.999105,0.535339,1,0.957923,0.389445,1,0.554163,0.261689
STANDARD,150,light,12,#1a1a1a,17.4043,1,1,0.799431,1,1,0.623622,1,0.988908,0.493702,1,0.907764,0.378628
STANDARD,150,light,14,#1a1a1a,17.4043,1,1,0.831127,1,1,0.677219,1,0.99737,0.567805,1,0.96975,0.471273
STANDARD,150,regular,6,#1a1a1a,17.4043,1,1,0.721569,1,1,0.524,1,0.905063,0.373592,1,0.457278,0.239145
STANDARD,150,regular,7,#1a1a1a,17.4043,1,1,0.760477,1,1,0.571709,1,0.968599,0.433122,1,0.745169,0.315213
STANDARD,150,regular,8,#1a1a1a,17.4043,1,1,0.760692,1,1,0.605719,1,0.978378,0.487641,1,0.87027,0.377886
STANDARD,150,regular,9,#1a1a1a,17.4043,1,1,0.827682,1,1,0.65828,1,0.991803,0.547053,1,0.941133,0.453537
STANDARD,150,regular,10,#1a1a1a,17.4043,1,1,0.855978,1,1,0.70525,1,0.996344,0.611548,1,0.965874,0.52363
STANDARD,150,regular,12,#1a1a1a,17.4043,1,1,0.898039,1,1,0.788863,1,0.999615,0.719632,1,0.991535,0.658485
STANDARD,150,regular,14,#1a1a1a,17.4043,1,1,0.898039,1,1,0.827494,1,0.999708,0.781666,1,0.993287,0.740234
STANDARD,150,bold,6,#1a1a1a,17.4043,1,1,0.831127,1,1,0.670317,1,0.989259,0.584252,1,0.924812,0.501015
