Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
boarders copy and paste,32,32,210,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
text borders copy and paste,28,28,140,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,124,"66, 66, 66, 80, 80, 52, 42, 52, 52, 80, 100, 66",2026-05-18,Related searches,informational,Organic
text borders copy and paste,31,31,140,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,124,"66, 66, 66, 80, 80, 52, 42, 52, 52, 80, 100, 66",2026-05-18,Related searches,informational,Organic
aesthetic borders copy and paste,32,32,320,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,130,"13, 10, 10, 13, 20, 13, 16, 20, 16, 8, 5, 4",2026-05-26,Related searches,informational,Organic
aesthetic border copy and paste,37,37,70,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,131,"14, 0, 0, 22, 18, 14, 10, 4, 2, 29, 18, 35",2026-06-04,Related searches,informational,Organic
borders copy and paste,48,48,880,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,24700000,"36, 36, 41, 30, 30, 24, 20, 36, 30, 36, 54, 30",2026-05-05,"Image pack, Video, Image, Related searches",informational,Organic
border symbol copy and paste,39,39,140,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
border symbol copy and paste,40,40,140,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
border symbol copy and paste,50,50,140,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
fancy borders copy and paste,67,67,90,2,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,120,"5, 6, 8, 5, 4, 5, 5, 4, 5, 4, 4, 3",2026-05-10,"Image pack, Video, Image, Related searches",informational,Organic
border symbols copy and paste,29,29,140,4,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,8690000,"42, 33, 42, 42, 52, 100, 100, 80, 80, 66, 80, 80",2026-05-02,"Image, Related searches",informational,Organic
copy and paste text borders,37,37,110,4,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,20800000,"66, 52, 33, 66, 80, 23, 23, 52, 42, 66, 100, 66",2026-05-10,"Image pack, Video, Related searches",informational,Organic
copy and paste borders,48,48,1300,6,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,23800000,"100, 41, 36, 54, 66, 36, 54, 54, 41, 30, 54, 54",2026-04-25,"Image pack, Image, Related searches",informational,Organic
